"#","MLS #","","Address","City","Subdivision NAME","Beds Total","Bths (F/H)","Num Stories","Garage Carport","Apx Year Built","Apx Acreage","Sq Ft Total","Price/SqFt","Current Price","DOM","CDOM","Virtual Tour Branded"
"1","599093","S","710 W Avenue D","Belton","Belton Original","1","1/0","One","","1935","1.090","826","$1.45","$1,200","50","50",""
"1","598335","S","3854 Lorenzen Court","Belton","Three Creeks","3","2/0","One","Attached Garage","2024","0.138","1,627","$1.07","$1,740","21","21",""
"1","598315","S","4075 Aransas Drive","Belton","Three Crks Ph V","4","3/1","Two","","2020","0.199","2,629","$0.87","$2,300","49","49",""
"1","597516","S","5619 St Charles Drive","Belton","Three Crks Ph 7","3","2/0","One","","2022","0.169","1,656","$1.27","$2,100","15","15",""
"1","597232","S","606 Tumbleweed Drive","Belton","Saddle Creek Add Ph 2","3","2/0","One","","2011","0.227","1,725","$1.06","$1,825","16","16",""
"1","596903","S","3218 Wildcatter Drive","Belton","Dawson Ranch Ph II Sec","4","2/1","One","Attached Garage","2014","0.247","2,042","$1.13","$2,300","56","56",""
"1","596706","S","911 N Penelope Street Unit#1915","Belton","Alexanders Add","2","1/0","One","","1973","0.107","1,728","$0.54","$925","33","33",""
"1","596685","S","2635 Belle Hubbard Trail","Belton","Hubbard Branch Add Ph","4","3/0","One","","2021","0.167","2,263","$0.97","$2,200","102","102",""
"1","596657","S","5755 Redfish Court","Belton","Three Creeks, PHASE V","3","2/0","One","Attached Garage, Garage Door Opener(s)","2022","0.000","1,914","$0.99","$1,899","20","20",""
"1","596502","S","5776 Copano Road","Belton","Three Crks Ph VI","3","2/0","One","Attached Garage","2022","0.227","1,605","$1.12","$1,800","43","43",""
"1","596416","S","2574 Belle Hubbard Trail","Belton","Hubbard Branch Add Ph","4","2/0","One","","2021","0.174","1,661","$1.14","$1,900","70","70",""
"1","596413","S","112 Palmetto Street","Belton","Highway Terrace","5","3/0","One","","1965","0.254","2,482","$0.67","$1,675","46","46",""
"1","595754","S","245 Chering Drive","Belton","Northcliffe Ph X","4","2/0","One","","2013","0.171","2,061","$0.95","$1,950","79","79",""
"1","595298","S","2600 Garden Brook Trail","Belton","Red Rock Hills Sub Pha","3","2/0","One","","2005","0.194","2,056","$0.92","$1,900","107","107",""
"1","594756","S","4305 Abergavenny Drive","Belton","Three Creeks Ph I","4","3/0","Two","","2020","0.165","2,230","$1.03","$2,295","93","93",""
"1","594038","S","1908 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","","2022","0.052","1,683","$1.01","$1,695","49","49",""
"1","593633","S","343 Arnold Drive Unit#B","Belton","South Wall Estates","2","2/0","One","","2023","0.173","2,114","$0.83","$1,750","-9","-9",""
"1","593375","S","5346 Cicero Drive","Belton","Three Creeks Ph I","4","2/0","One","","2016","0.138","1,965","$1.02","$1,995","38","38",""
"1","592881","S","5842 Copano Road","Belton","Three Crks Ph 1a","3","2/0","One","Attached Garage","2022","0.172","1,605","$1.17","$1,875","32","32",""
"1","592829","S","164 Lake Forest Drive","Belton","Morgans Point Resort Sec 1","3","2/0","One","","2003","0.165","1,322","$1.03","$1,365","29","29",""
"1","592507","S","3220 Victoria Meadow Drive","Belton","Sendero Estates","4","3/0","One","","2020","0.173","2,347","$0.92","$2,150","120","120",""
"1","592445","S","6 Lantana Drive","Belton","Morgans Point Resort Sec 1","1","1/0","One","","1997","0.149","1,216","$0.58","$700","14","14",""
"1","592101","S","3029 Mystic Mountain Lane","Belton","Highland Estates Ph II","4","3/0","One","","2017","0.253","2,251","$1.11","$2,500","71","71",""
"1","591836","S","5410 Tabbs Ct Court","Belton","Three Crks Ph Viii","4","3/0","Two","","2022","0.297","2,181","$1.15","$2,500","31","31",""
"1","591678","S","4078 Estes Court","Belton","Three Crks Ph Ix","4","2/0","One","Attached Garage","2025","0.138","1,662","$1.11","$1,849","120","120",""
"1","591559","S","3514 Leaning Tree Cove","Belton","Dawson Ridge Add","4","2/0","One","Attached Garage","2021","0.266","1,972","$1.19","$2,350","40","40",""
"1","591425","S","4725 Stoneoak Drive","Belton","Stoneoak Sub Ph II","3","2/0","One","","2002","0.501","2,294","$1.05","$2,400","48","48",""
"1","591409","S","5508 Denmans Mountain Road","Belton","Denman Twin Mountains","3","2/1","Two","","1995","0.288","2,144","$1.03","$2,200","1","1",""
"1","590580","S","809 W Avenue D Unit#B","Belton","Lwg Assoc Add","3","2/0","One","","1984","0.140","2,104","$0.55","$1,150","38","38",""
"1","590332","S","1005 E Avenue S","Belton","Liberty Hill Sec 2","4","2/0","One","","2007","0.166","1,647","$1.00","$1,650","103","103",""
"1","590156","S","1705 Liberty Hill Drive","Belton","Liberty Hill Add Amd","3","2/0","One","Attached Carport, Garage Door Opener(s)","2005","0.212","1,784","$1.01","$1,800","62","62",""
"1","589519","S","1320 Adam Lane","Belton","West Canyon Trls Ph III","3","2/0","One","","2023","0.138","1,815","$1.05","$1,900","35","35",""
"1","588999","S","521 Holstein Drive","Belton","Sendero Estates","4","2/0","One","","2018","0.177","2,080","$0.96","$1,995","10","10",""
"1","588598","S","5410 Tabbs Court","Belton","Three Crks Ph Viii","4","3/0","Two","","2023","0.297","1,984","$1.26","$2,500","64","64",""
"1","588418","S","5824 Copano Road","Belton","Three Crks Ph IV","3","2/0","One","","2022","0.196","1,612","$1.12","$1,800","58","58",""
"1","587378","S","511 W Avenue C","Belton","Freeman Heights","3","1/0","One","None-Garage, None-Carport","2008","0.080","900","$1.28","$1,150","11","11",""
"1","586786","S","5114 Dauphin Drive","Belton","Three Creeks Ph I","3","2/1","Two","","2018","0.138","1,916","$0.91","$1,750","171","171",""
"1","586525","S","6743 Athens Street","Belton","Sparta Ridge","3","2/0","One","","1994","0.177","1,179","$1.12","$1,325","14","14",""
"1","586307","S","1719 Cedrus Drive","Belton","Cedar Trls","3","2/0","One","","2024","0.212","1,263","$1.31","$1,650","13","13",""
"1","586152","S","403 Smith Street","Belton","Mcfarland Estates","3","2/0","One","","2006","0.166","1,048","$1.24","$1,295","48","48",""
"1","586145","S","7370 Nolan Bluff Road","Belton","Mcneil Sub","3","2/0","One","","1969","0.925","2,158","$1.02","$2,200","35","35",""
"1","585538","S","704 Liberty Valley Drive","Belton","Liberty Park","4","2/0","One","Attached Garage","2019","0.181","1,676","$1.10","$1,850","26","26",""
"1","585199","S","5314 Fenton Lane","Belton","Three Creeks Ph II","5","3/1","Two","","2017","0.138","3,048","$0.85","$2,600","38","38",""
"1","584898","S","5902 Galveston Road","Belton","Three Crks Ph 1a","4","2/0","One","","2020","0.138","2,150","$1.00","$2,145","6","6",""
"1","584641","S","5317 Othello Drive","Belton","Three Creeks Ph II","4","3/0","One","","2017","0.193","2,197","$1.04","$2,295","24","24",""
"1","584328","S","3978 Aransas Drive","Belton","Three Crks Ph V","4","3/0","One","","2020","0.144","2,182","$1.10","$2,400","43","43",""
"1","584069","S","5803 St Charles Drive","Belton","Three Crks Ph VI","5","2/1","Two","","2022","0.193","2,572","$1.09","$2,800","18","18",""
"1","583675","S","415 E 4th Avenue Unit#A","Belton","Alexanders Add","3","2/0","One","","2005","0.170","1,200","$0.96","$1,150","18","18",""
"1","583578","S","5625 St Charles Drive","Belton","","4","2/0","One","Attached Garage, Garage Door Opener(s)","2021","0.166","1,962","$0.99","$1,949","46","46",""
"1","583448","S","724 Liberty Valley Drive","Belton","Liberty Valley IV","4","2/0","One","","2018","0.185","1,729","$1.13","$1,950","54","54","https://my.matterport.com/show/?m=CdC5E1RGpdU"
"1","583341","S","5386 Denmans Loop","Belton","Denman Twin Mountains 2nd","3","2/0","One","","1997","0.338","1,588","$0.98","$1,550","6","6",""
"1","583223","S","5541 Perdita Drive","Belton","Three Creeks Ph I","3","2/0","One","Attached Garage, Entry-Front Garage","2019","0.212","1,600","$1.16","$1,850","19","19",""
"1","582981","S","1025 Terra Alta Drive","Belton","Buena Vida Estates Sec A","3","2/0","One","","1973","0.298","1,498","$1.27","$1,895","45","45",""
"1","582051","S","5012 Dickinson Loop","Belton","Three Crks Ph V","5","4/0","Two","Attached Garage, Door-Single, Entry-Front Garage, Garage Door Opener(s)","2020","0.138","2,955","$0.96","$2,850","6","6",""
"1","581790","S","1024 Shelby Drive","Belton","Ridge/Belle Mdw Ph 2","4","2/1","Two","","2022","0.138","2,612","$0.88","$2,300","23","23",""
"1","580893","S","4457 Lakeview Drive","Belton","Lakewood Terrace","2","1/0","One","","1930","0.320","720","$1.35","$975","4","4",""
"1","580482","S","3212 Trinity Drive","Belton","River Place Estates Ph Ix S","4","2/0","One","Attached Garage, Door-Multi, Entry-Front Garage","2020","0.183","2,191","$1.19","$2,600","29","29",""
"1","580191","S","6260 Matagorda Road","Belton","Three Crks Ph VI","3","2/0","One","","2023","0.152","1,685","$1.25","$2,100","35","35",""
"1","580022","S","5201 Cicero Drive","Belton","Three Creeks Ph I","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2017","0.189","1,906","$1.10","$2,100","55","55",""
"1","580006","S","214 N Sparks Street Unit#B","Belton","","3","2/0","One","Attached Garage, Entry-Front Garage","2024","0.196","1,348","$1.26","$1,700","49","49",""
"1","579898","S","3655 Brenda Lane","Belton","O T Tilley Add","4","2/0","One","","1978","0.276","1,762","$0.96","$1,700","95","95",""
"1","578921","S","5933 Galveston Road","Belton","Three Crks Ph IV","5","2/1","Two","","2020","0.138","2,042","$1.13","$2,300","8","8",""
"1","578252","S","415 E 4th Avenue Unit#B","Belton","Alexanders Add","3","2/0","Two","","2005","0.170","1,200","$1.00","$1,195","90","90",""
"1","577474","S","4140 Aransas Drive","Belton","Bella Charca Ph X","3","2/0","One","Attached Garage, Entry-Front Garage, Garage Door Opener(s)","2022","0.147","1,491","$1.34","$2,000","18","18",""
"1","576923","S","1830 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","Attached Garage","2025","0.061","1,683","$1.04","$1,750","294","294",""
"1","576864","S","1834 Royal Loop","Belton","Royal Heights Add","3","2/1","Two","","2025","0.061","1,486","$1.07","$1,595","197","197",""
"1","576196","S","6212 Matagorda Road","Belton","","4","2/0","One","Attached Carport, Entry-Front Garage","2022","0.165","2,140","$1.17","$2,500","11","11","https://prop.jimmydphoto.com/order/d3709696-b01e-406e-41fb-08dd736b6fd0"
"1","575926","S","6315 Matagorda Road","Belton","Three Crks Ph VI","3","2/0","One","","2022","0.138","1,449","$1.28","$1,850","60","60",""
"1","575098","S","1711 Freedom Loop","Belton","Liberty Hill Add Amd","3","2/0","One","","2005","0.146","1,564","$1.12","$1,750","6","6",""
"1","574102","S","1912 Royal Loop","Belton","Royal Heights Add","3","2/1","Two","","2022","0.052","1,689","$1.06","$1,795","201","201",""
"1","574082","S","2549 Belle Hubbard Trail","Belton","Hubbard Branch Add Ph","4","2/0","One","","2021","0.171","1,721","$1.16","$2,000","18","18",""
"1","573922","S","332 Arnold Drive Unit#B","Belton","South Wall Estates","2","2/0","One","","2021","0.190","1,000","$1.60","$1,600","23","23",""
"1","573778","S","5562 Perdita Drive","Belton","Three Creeks Ph I","4","2/0","One","Attached Garage, Door-Single, Garage Door Opener(s)","2019","0.138","1,561","$1.14","$1,775","11","11",""
"1","573764","S","421 Damascus Drive","Belton","Sendero Estates","4","3/0","One","","2020","0.177","2,185","$1.00","$2,195","6","6",""
"1","573062","S","5055 Dickinson Loop","Belton","Three Crks Ph V","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2019","0.140","1,602","$1.14","$1,825","41","41",""
"1","573006","S","1952 Royal Loop Drive","Belton","Royal Heights Add","3","2/1","Two","Attached Garage, Door-Single, Entry-Front Garage","2021","0.052","1,485","$1.21","$1,800","52","52",""
"1","572673","S","112 Palmetto Street","Belton","Highway Terrace","5","3/0","One","","1965","0.254","2,482","$0.68","$1,700","33","33",""
"1","572560","S","2143 Blackhawk Loop","Belton","Connell Sub","4","2/1","Two","Attached Garage, Door-Single, Entry-Front Garage, Garage Door Opener(s)","2023","0.116","2,170","$1.08","$2,350","164","164",""
"1","572305","S","2000 Madison Court","Belton","Liberty Valley Ph I","4","2/0","One","","2009","0.315","1,919","$1.09","$2,100","40","40",""
"1","572126","S","6233 Lavaca Drive","Belton","Three Crks Ph IV","4","2/0","One","","2020","0.186","2,087","$1.03","$2,150","39","39",""
"1","571219","S","1920 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","","2021","0.052","1,489","$1.21","$1,795","120","120",""
"1","570942","S","4537 Allison Drive","Belton","Three Creeks","4","3/0","One","Attached Garage, Entry-Front Garage, Garage Door Opener(s)","2024","0.138","1,953","$1.02","$2,000","5","5",""
"1","570842","S","2500 AMBER FOREST Trail","Belton","RED ROCK HILLS","5","3/0","Split/Multi Level","Attached Garage","2010","0.470","2,265","$1.15","$2,600","2","34",""
"1","570218","S","1228 Ayham Trail","Belton","West Canyon Mails Ph II","3","2/1","Two","","2021","0.145","2,661","$0.86","$2,300","44","44",""
"1","569720","S","5413 Tabbs Court","Belton","Three Crks Ph Viii","4","2/0","One","","2024","0.220","2,094","$1.24","$2,600","43","43",""
"1","569263","S","3701 Moffat Court","Belton","Three Creeks","4","2/1","One","Attached Carport, Door-Single, Entry-Front Garage, Garage Door Opener(s)","2024","0.170","1,951","$1.01","$1,975","11","11",""
"1","568178","S","5321 Cicero Drive","Belton","Three Creeks Ph I","3","2/0","One","","2017","0.138","1,632","$1.04","$1,700","31","31",""
"1","567980","S","700 Shanklin Road","Belton","","4","2/0","One","","1966","10.670","3,238","$1.19","$3,850","61","61",""
"1","567959","S","3220 Victoria Meadow Drive","Belton","Sendero Estates","4","3/0","One","","2020","0.173","2,347","$1.02","$2,400","52","52",""
"1","567827","S","1232 Adam Lane","Belton","West Canyon Trls Ph I","4","2/1","Two","","2021","0.155","2,538","$0.79","$1,995","7","7",""
"1","567063","S","5707 Red Fish Court","Belton","Three Crks Ph Vii","4","3/0","One","","2022","0.172","1,890","$1.06","$1,995","55","55",""
"1","566794","S","339 Arnold Drive Unit#B","Belton","","2","2/0","One","","2023","0.174","1,030","$1.46","$1,500","13","13",""
"1","566308","S","1 Armadillo Circle","Belton","Morgans Point Resort Sec 2","3","2/0","One","Attached Garage","2014","0.165","1,577","$1.11","$1,750","34","34",""
"1","566079","S","5203 Denmans Loop","Belton","Denman Twin Mountains 2nd","3","3/0","Two","","1977","0.351","2,283","$0.88","$2,000","72","72",""
"1","565205","S","4008 Aransas Drive","Belton","Three Crks Ph V","4","2/0","One","Attached Garage, Garage Door Opener(s)","2021","0.144","1,695","$1.12","$1,900","40","40",""
"1","565193","S","15 Cliffside Drive","Belton","Morgans Point Resort Sec 7","3","1/1","One","","1985","0.126","1,034","$1.25","$1,295","7","7",""
"1","564323","S","40 Market Loop","Belton","Morgans Point Resort Sec 2","4","2/0","One","","2004","0.071","1,357","$1.11","$1,500","197","197",""
"1","564068","S","422 N East Street","Belton","Belton Original","2","1/0","One","","1981","0.148","1,112","$1.07","$1,195","11","11",""
"1","564067","S","5226 Dauphin Drive","Belton","Three Creeks Ph I","3","2/0","One","","2016","0.138","1,605","$1.15","$1,850","40","40",""
"1","563615","S","187 Sheridan Loop","Belton","Northcliffe Ph X","4","2/0","One","Attached Garage","2014","0.181","1,784","$1.12","$2,000","9","9",""
"1","563124","S","2506 Liberty Park Court","Belton","Liberty Park","4","2/0","One","Attached Garage, Entry-Front Garage","2018","0.360","1,726","$1.07","$1,850","64","64",""
"1","562923","S","133 W 13th Avenue Unit#B","Belton","J W Embree","1","1/0","One","","1945","0.467","832","$1.26","$1,050","98","98",""
"1","562495","S","3218 Wildcatter Drive","Belton","Dawson Ranch Ph II Sec","4","2/1","One","Attached Garage, Door-Single, Entry-Front Garage","2014","0.247","2,042","$1.03","$2,100","14","14",""
"1","562184","S","5305 Fenton Lane","Belton","Three Creeks Ph II","3","2/0","One","Garage Door Opener(s)","2017","0.138","1,506","$1.13","$1,695","95","95",""
"1","562091","S","415 E 4th Avenue Unit#B","Belton","Alexanders Add","3","2/0","One","","2005","0.170","1,200","$0.83","$995","74","74",""
"1","562075","S","5550 Perdita Drive","Belton","Three Creeks","3","2/0","One","Attached Garage, Garage Door Opener(s)","2019","0.000","1,508","$1.13","$1,700","36","36",""
"1","561836","S","5776 E Copano Road","Belton","Three Crks Ph VI","3","2/0","One","Attached Garage","2022","0.227","1,605","$1.18","$1,900","10","10",""
"1","561437","S","2545 Leroy Lane","Belton","South Wall Estates","3","2/0","One","","2021","0.194","1,406","$1.14","$1,600","53","53",""
"1","561436","S","3 Buttercup Loop","Belton","Morgans Point Resort Sec 1","3","2/0","One","","2004","0.161","1,353","$1.22","$1,650","182","182",""
"1","561345","S","4075 Aransas Drive","Belton","Three Crks Ph V","4","3/1","Two","","2020","0.199","2,629","$0.87","$2,300","7","7",""
"1","561328","S","437 Bella Rose Drive","Belton","Bella Rose Sub Rep","3","2/0","One","","2017","0.159","2,018","$0.93","$1,875","163","163",""
"1","561173","S","5524 Denmans Mountain Road","Belton","Medina Mountain Add","3","2/0","One","","1995","0.672","2,178","$1.15","$2,500","22","22",""
"1","560919","S","5642 Baffin Lane","Belton","Three Crks Ph IV","3","2/0","One","","2020","0.138","1,575","$1.13","$1,775","185","185",""
"1","560631","S","1614 Shady Lane","Belton","Oak Park Sub","3","2/0","One","","2016","0.198","1,486","$1.01","$1,499","117","117",""
"1","560276","S","5321 Lancaster Drive","Belton","Three Creeks Ph II","6","4/1","Two","","2017","0.165","3,067","$0.85","$2,600","59","59",""
"1","559977","S","1815 Liberty Hill Drive","Belton","Liberty Hill Add Amd","4","2/0","One","","2005","0.143","1,627","$1.17","$1,900","127","127",""
"1","559087","S","5203 Denmans Loop","Belton","Denman Twin Mountains 2nd","3","3/0","Two","","1977","0.351","2,283","$0.88","$2,000","49","49",""
"1","557337","S","3317 Long Fellow Drive","Belton","Dawson Rdg Amd","4","2/1","One","","2021","0.214","2,211","$0.90","$2,000","49","49",""
"1","556907","S","2618 Leroy Lane Unit#A","Belton","South Wall Estates","3","2/0","One","","2024","0.169","1,536","$1.01","$1,550","67","94",""
"1","556632","S","2361B S Wall Street","Belton","South Wall Estates","3","2/0","Two","Attached Garage, Entry-Front Garage","2023","0.235","1,695","$1.00","$1,695","245","245",""
"1","556479","S","9 Rawhide Circle","Belton","Morgans Point Resort Sec 9","3","2/0","One","Attached Garage","1985","0.222","1,092","$1.51","$1,650","30","30",""
"1","556467","S","620 Holstein Drive","Belton","Sendero Estates","4","2/0","One","","2018","0.179","1,983","$1.03","$2,050","5","5",""
"1","556325","S","4044 Aransas Drive","Belton","Three Crks Ph V","4","2/0","One","","2020","0.151","1,710","$1.08","$1,850","19","19",""
"1","556081","S","245 Chering Drive","Belton","Northcliffe Ph X","4","2/0","One","","2013","0.171","2,061","$0.99","$2,050","59","59",""
"1","555149","S","3790 Moffat Court","Belton","Three Creeks","4","2/1","One","Attached Garage, Entry-Front Garage","2024","0.211","1,951","$0.97","$1,895","41","41","https://my.matterport.com/show/?m=PdMsmbut3z1"
"1","555069","S","2542A Leroy Lane","Belton","South Wall Estates","3","2/0","Two","Attached Garage","2023","0.308","1,745","$0.97","$1,695","143","143",""
"1","554317","S","5205 Cicero Drive","Belton","Three Creeks Ph I","3","2/0","One","Attached Garage, Entry-Front Garage","2017","0.138","1,310","$1.34","$1,750","46","46",""
"1","554028","S","917 Allie Way","Belton","Royal Heights Add","3","2/1","Two","","2022","0.052","1,689","$0.96","$1,625","188","188",""
"1","554026","S","921 Allie Way","Belton","Royal Heights Add","4","2/1","Two","Attached Garage","2022","0.052","1,485","$1.16","$1,725","207","207",""
"1","553855","S","1717 Cedrus Drive","Belton","","4","2/0","One","","2024","0.340","1,796","$1.04","$1,875","131","131",""
"1","553382","S","5066 Dickinson Loop","Belton","","3","2/0","One","","2021","0.141","1,643","$1.22","$2,000","28","28",""
"1","553284","S","6040 Galveston Road","Belton","Three Creeks","3","2/0","One","Attached Carport, Entry-Front Garage, Garage Door Opener(s)","2020","0.138","1,779","$0.96","$1,700","8","8",""
"1","552361","S","2962 Presidio Circle","Belton","Dawson Ranch Ph VI","4","2/1","One","","2017","0.248","2,334","$0.94","$2,200","19","19",""
"1","552306","S","606 Northcliffe Drive","Belton","Northcliffe Ph I First Repl","4","3/0","One","","1987","0.306","2,713","$0.88","$2,400","41","41",""
"1","552087","S","524 Neches Street","Belton","River Place Add Sec 1","4","2/1","One","","1993","0.406","2,205","$1.00","$2,200","83","83",""
"1","551405","S","115 Squire Loop","Belton","Country Squire Estates","3","2/0","One","","2007","0.311","1,758","$1.08","$1,900","6","6",""
"1","550055","S","3533 Leaning Tree Cove","Belton","Dawson Ridge Add","4","2/1","One","","2021","0.317","2,966","$0.81","$2,400","7","7","https://my.matterport.com/show/?m=LxHEtfY84VU"
"1","548774","S","415 E 4th Avenue Unit#A","Belton","Alexanders Add","3","2/0","One","","2005","0.170","4,840","$0.25","$1,195","14","14",""
"1","548765","S","1858 Royal Loop","Belton","Royal Heights Add","3","2/1","One","","2022","0.051","1,689","$1.18","$1,995","20","20",""
"1","548676","S","1216 Long Creek Lane","Belton","West Canyon Trls Ph 3","4","2/1","Two","","2022","0.138","2,598","$0.77","$1,995","195","195",""
"1","548412","S","804 Palmetto Street","Belton","River Forest Add","3","2/0","One","Attached Garage","1962","0.337","1,680","$0.95","$1,595","88","88",""
"1","548299","S","606 E 28TH Avenue","Belton","","4","2/0","One","","2012","0.400","1,756","$1.25","$2,200","31","31",""
"1","548220","S","207 W 14th Avenue","Belton","French","4","2/0","One","Attached Carport, Entry-Side Carport","1949","0.180","1,544","$1.04","$1,600","71","71",""
