"#","MLS #","","Address","City","Subdivision NAME","Beds Total","Bths (F/H)","Num Stories","Garage Carport","Apx Year Built","Apx Acreage","Sq Ft Total","Price/SqFt","Current Price","DOM","CDOM","Virtual Tour Branded"
"1","597028","A","1122 Campbellton Drive","Bells","","4","2/0","One","","2025","0.172","1,676","$1.04","$1,750","130","130",""
"1","595606","A","2421 Hancock Drive","Temple","Little Bluestem Add","3","2/0","One","","1997","0.149","1,208","$1.24","$1,500","64","64",""
"1","592992","A","1772 Lummus Drive","Temple","South Pointe Ph I","3","2/0","One","","2019","0.124","1,679","$1.10","$1,850","181","181",""
"1","591145","A","2405 S 13th Street Unit#721","Temple","Oakbrook Terrace Ph I","2","2/0","One","","1984","5.018","1,078","$1.09","$1,180","195","195",""
"1","578821","A","3827 Leming Court","Temple","Atascosa Estates","4","2/0","One","","2023","0.204","2,010","$1.14","$2,300","316","316",""
"1","604696","P","2701 Scott Boulevard","Temple","","3","2/0","One","","1963","0.232","2,029","$0.79","$1,600","24","24",""
"1","597241","P","1911 Meridian Loop","Temple","South Pointe Ph III","4","2/0","One","","2025","0.134","1,842","$1.03","$1,899","114","114",""
"1","604097","S","1102 Campbelton Drive","Temple","Atascosa Estates","4","2/5","Two","","2025","0.183","1,922","$1.07","$2,050","10","10",""
"1","603954","S","1801 S 47th Street","Temple","Dubose Add Second Extensi","3","1/1","One","","1957","0.203","1,068","$1.19","$1,275","21","21",""
"1","603127","S","2016 S 11th Street","Temple","Hollywood 1st Ext","3","1/0","One","","1962","0.201","1,052","$1.32","$1,385","33","33",""
"1","602387","S","1007 S 25th Street","Temple","Tal-Coe Place","1","1/0","One","","1940","0.161","528","$1.69","$890","1","1",""
"1","602237","S","1206 Roanoke Drive","Temple","Heritage Place Ph IV","3","2/0","One","","2015","0.152","1,392","$1.09","$1,520","18","18",""
"1","602091","S","2108 Saulsbury Drive Unit#A","Temple","Northwest Hills 1st Ext","3","2/0","One","","2023","0.179","1,299","$1.12","$1,450","32","32",""
"1","602075","S","2108 Saulsbury Drive Unit#B","Temple","Northwest Hills 1st Ext","3","2/0","One","Attached Garage","2023","0.179","1,299","$1.12","$1,450","50","50",""
"1","601674","S","1426 Piedmont Street","Temple","Willow Glenn","3","2/0","One","","2024","0.138","1,308","$1.30","$1,695","17","130",""
"1","601260","S","1309 S 3rd Street Unit#B","Temple","Robertson","1","1/0","One","","1943","0.141","1,924","$0.47","$900","28","28",""
"1","600491","S","1102 W Central Avenue","Temple","Freeman Heights","3","1/0","One","","1965","0.161","1,026","$0.78","$800","8","8",""
"1","600106","S","511 S 29th Street Unit#B","Temple","","3","2/1","Two","","2025","0.160","1,300","$1.07","$1,395","49","49",""
"1","600099","S","511 S 29th Street Unit#A","Temple","","3","2/1","Two","","2025","0.160","1,300","$1.07","$1,395","49","49",""
"1","599856","S","4356 Cedar Creek Road","Temple","Long View Estates","3","2/0","One","","2020","0.750","1,599","$1.41","$2,250","14","14",""
"1","599792","S","510 Cheyenne Drive Unit#B","Temple","West Gate Add 1st Unit Re","2","2/0","One","Entry-Rear Carport","1974","0.194","2,416","$0.47","$1,125","84","84",""
"1","599791","S","905 S Martin Luther King Jr Lane Unit#B","Temple","","3","2/1","Two","","2025","0.230","1,355","$1.03","$1,395","54","54",""
"1","599786","S","905 S Martin Luther King Jr Lane Unit#A","Temple","","3","2/1","Two","","2025","0.230","1,355","$1.03","$1,395","74","74",""
"1","599784","S","909 S Martin Luther King Jr Lane Unit#B","Temple","","3","2/1","Two","","2025","0.230","1,355","$1.03","$1,395","74","74",""
"1","599780","S","909 S Martin Luther King Jr Lane Unit#A","Temple","","3","2/1","Two","","2025","0.230","1,355","$1.03","$1,395","54","54",""
"1","599601","S","1706 S 41st Street","Temple","Dubose Add Blks 1-7","2","1/0","One","","1952","0.177","957","$1.25","$1,195","17","17",""
"1","598833","S","2306 Valley Forge Avenue Unit#B","Temple","Saulsbury Sub Ph VI","3","2/0","One","","2015","0.190","1,113","$1.12","$1,250","24","24",""
"1","598742","S","1118 S 19th Street","Temple","Tal-Coe Place","2","1/0","One","","1969","0.164","1,077","$1.02","$1,100","33","33",""
"1","597936","S","1325 S 17th Street","Temple","Tal-Coe Place","3","2/0","One","","1947","0.140","1,048","$1.24","$1,300","20","20",""
"1","597607","S","2213 Valley Forge Avenue Unit#C","Temple","Northwest Hills 1st Ext","2","1/0","One","","1979","0.262","3,568","$0.27","$950","99","99",""
"1","597605","S","2213 Valley Forge Avenue Unit#D","Temple","Northwest Hills 1st Ext","2","1/0","Two","","1979","0.262","3,568","$0.27","$950","54","54",""
"1","597594","S","2313 Alterman Drive Unit#B","Temple","Pecan Creek Est","3","2/0","One","","2021","0.190","1,300","$1.00","$1,300","59","164",""
"1","596888","S","1214 Jamestown Drive","Temple","Heritage Place Ph IV","3","2/0","One","Attached Garage, Entry-Front Garage","2017","0.152","1,318","$1.19","$1,575","25","25",""
"1","596823","S","2015 Filmore Cove","Temple","South Pointe Ph III","4","2/0","One","","2025","0.138","1,662","$1.08","$1,799","12","12",""
"1","596724","S","2414 Patrick Henry Street Unit#B","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","1,001","$1.09","$1,095","8","8",""
"1","595977","S","1430 Piedmont Street","Temple","Willow Glenn","3","2/0","One","Attached Garage","2024","0.138","1,680","$1.10","$1,850","20","20",""
"1","595835","S","904 Ticonderoga Drive Unit#C","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.190","1,000","$0.90","$900","129","129",""
"1","595302","S","2504 Saulsbury Drive","Temple","Saulsbury Sub Ph II","3","2/0","One","","2007","0.186","1,256","$1.00","$1,250","38","38",""
"1","595265","S","1937 Euclid Drive","Temple","South Pointe Ph I","3","2/0","One","Attached Garage","2019","0.134","1,432","$1.05","$1,500","24","24",""
"1","594473","S","2410 Patrick Henry Street Unit#B","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","2,003","$0.55","$1,095","5","10",""
"1","594471","S","2410 Patrick Henry Street Unit#A","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","1,001","$1.11","$1,115","33","38",""
"1","594338","S","3022 Dade Loop","Temple","South Pointe Ph II","3","2/0","One","Attached Garage, Entry-Front Garage","2019","0.130","1,577","$0.97","$1,525","36","36",""
"1","593363","S","2113 Meridian Loop","Temple","South Pointe Ph III","3","2/0","One","","2024","0.147","1,644","$1.00","$1,650","11","11",""
"1","593209","S","820 S 15th Street","Temple","Jones & Moores Add","2","1/0","One","","1917","0.177","1,784","$0.55","$975","17","17",""
"1","592859","S","816 Ticonderoga Drive Unit#A","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.197","1,000","$0.95","$950","20","20",""
"1","592858","S","1108 S 3rd Street","Temple","Robertson","4","1/0","One","","1934","0.131","1,355","$0.74","$1,000","13","13",""
"1","591786","S","306 S 25th Street","Temple","Freeman Heights","3","2/0","One","","1960","0.241","984","$1.27","$1,250","38","38",""
"1","591758","S","406 S 7th Street Unit#B","Temple","Temple Original","3","2/0","One","","2022","0.152","922","$1.14","$1,050","56","56",""
"1","591749","S","3909 Hopi Trail","Temple","Western Hills 8th Ext","3","2/0","One","","2000","0.172","1,508","$1.13","$1,700","2","2",""
"1","590693","S","901 Ticonderoga Drive","Temple","Northwest Hills 3rd Ext","3","2/0","One","Attached Garage, Entry-Front Garage","2000","0.179","1,340","$1.12","$1,500","77","77",""
"1","590321","S","2409 Paul Revere Street Unit#A","Temple","Northwest Hills 1st Ext","3","2/0","One","","1984","0.184","1,000","$1.20","$1,200","42","42",""
"1","590296","S","2417 Alterman Drive Unit#B","Temple","","3","2/0","One","","2022","31.783","1,300","$1.00","$1,295","52","52",""
"1","589816","S","2604 Saulsbury Drive","Temple","Saulsbury Sub Ph II","3","2/0","One","","2007","0.144","1,258","$1.23","$1,550","4","4",""
"1","589393","S","816 Twin Oaks Drive Unit#B","Temple","Liberty Hill Ph II","3","2/0","One","Attached Garage","2004","0.260","2,532","$0.51","$1,300","21","75",""
"1","588514","S","2012 Dade Loop","Temple","South Pointe Ph II","3","2/0","One","Attached Garage, Garage Door Opener(s)","2020","0.134","1,257","$1.31","$1,650","11","11",""
"1","588466","S","406 S 7th Street","Temple","Temple Original","3","2/0","One","","2022","0.152","922","$1.14","$1,050","29","29",""
"1","587653","S","3000 W Avenue Avenue","Temple","Woodlawn Park","3","2/0","One","Attached Carport","1959","0.317","2,438","$0.68","$1,650","81","81",""
"1","586780","S","1401 S 47th Street","Temple","Florine Terrace","3","1/0","One","","1957","0.209","1,204","$1.08","$1,295","72","72",""
"1","586772","S","918 S 39th Street Unit#B","Temple","Bellview","3","2/0","One","","2021","0.172","887","$1.23","$1,095","58","58",""
"1","585806","S","1002 S 13th Street","Temple","Temple Original","2","1/0","One","","1926","0.130","1,380","$0.98","$1,350","128","128",""
"1","585803","S","2328 Alterman Drive Temple, TX 76504 Drive Unit#A","Temple","Pecan Creek Est","3","2/0","None","","2021","0.190","2,620","$0.50","$1,300","15","15",""
"1","585710","S","2417 ALTERMAN DR TEMPLE Drive Unit#A","Temple","Pecan Creek South","3","2/0","Two","","2021","7,187.400","2,670","$0.49","$1,295","37","37",""
"1","585438","S","2216 Vicksburg Lane","Temple","Heritage Place Ph V","4","2/0","One","","2019","0.139","1,391","$1.22","$1,700","10","10",""
"1","584747","S","4118 Ermine Trail","Temple","Western Hills 6th Ext","3","2/0","One","","1978","0.188","1,654","$0.97","$1,600","219","219","https://my.matterport.com/show/?m=qbe9RMbjyLE"
"1","584380","S","1322 S 15th Street","Temple","Tal-Coe Place","2","1/0","One","Detached Garage, Door-Single","1940","0.126","768","$1.43","$1,100","10","10",""
"1","583617","S","1309 S 3rd Street Unit#D","Temple","Robertson","0","1/0","Other-See Remarks","","1943","0.141","1,924","$0.42","$800","65","65",""
"1","582999","S","1912 Delano Drive","Temple","South Pointe Ph I","3","2/0","One","Attached Garage, Door-Single, Garage Door Opener(s)","2019","0.134","1,303","$1.27","$1,650","38","38",""
"1","582938","S","2402 Paul Revere Street Unit#B","Temple","Northwest Hills 1st Ext","3","3/0","One","Attached Garage","1979","0.184","1,260","$1.03","$1,300","126","126","https://my.matterport.com/show/?m=UKDaPtL18Ka"
"1","582299","S","1514 S. 15th Street","Temple","","2","1/0","One","","1947","0.170","744","$2.02","$1,500","2","2",""
"1","582005","S","607 Olaf Drive","Temple","Liberty Hill Ph II","3","2/0","One","Attached Garage","2004","0.194","1,269","$0.95","$1,200","20","20",""
"1","581703","S","812 Ticonderoga Drive Unit#C","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.184","1,000","$0.95","$950","108","108",""
"1","580975","S","1703 Merritt Street","Temple","","3","2/0","One","","2022","0.138","1,263","$1.43","$1,800","9","9",""
"1","580858","S","2006 S 15th Street","Temple","Hollywood 1st Ext","2","1/0","One","","1981","0.164","1,608","$0.68","$1,095","54","54",""
"1","580564","S","900 Ticonderoga Drive Unit#A","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.193","1,000","$0.95","$950","7","7",""
"1","580060","S","2116 W Avenue D","Temple","Baker","2","1/0","One","","1913","0.331","776","$1.22","$950","103","103",""
"1","580048","S","2412 Alterman Drive Unit#A","Temple","Pecan Crk South Ph 2","3","2/0","One","Attached Garage","2021","0.165","1,335","$1.01","$1,349","84","84",""
"1","579932","S","915 S 13th Street","Temple","Jones & Moores Add","2","1/0","One","","1938","0.154","924","$1.08","$1,000","9","9",""
"1","579355","S","2305 Vicksburg Lane","Temple","Heritage Place Ph V","3","2/0","One","","2018","0.136","1,330","$1.18","$1,575","103","103",""
"1","577937","S","2530 Moores Mill Road","Temple","W GILMORE","3","2/0","One","Circular Drive, Detached Garage, Garage Door Opener(s), Oversized Garage, RV Parking Available","1999","4.000","1,863","$1.21","$2,250","80","192",""
"1","577691","S","701 Brazos Drive","Temple","Western Hills 7th Ext Rep","3","2/1","Two","Attached Garage, Entry-Front Garage","1985","0.144","1,640","$1.01","$1,650","63","63",""
"1","577657","S","900 Ticonderoga Drive","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.193","1,000","$0.95","$950","8","31",""
"1","577540","S","2405 Valley Forge Avenue Unit#A","Temple","Northwest Hills 1st Ext","2","1/0","One","","1978","0.189","3,544","$0.22","$775","19","19",""
"1","577125","S","2313 Vicksburg Lane","Temple","Heritage Place Ph V","3","2/0","One","","2018","0.136","1,330","$1.09","$1,450","80","80",""
"1","576728","S","2404 Duntov Drive Unit#A","Temple","","3","2/0","One","Attached Garage","2021","0.165","2,520","$0.53","$1,325","23","23",""
"1","576215","S","507 Olaf Drive Unit#B","Temple","Liberty Hill Ph II","3","2/0","One","Attached Garage","2004","0.220","1,243","$1.19","$1,475","17","42",""
"1","574916","S","401 S 11th Street","Temple","Moores Add","3","2/1","One","","1950","0.189","1,386","$1.08","$1,500","34","34",""
"1","574641","S","1311 S 37th Street","Temple","Temple Heights","2","1/0","One","","1940","0.161","812","$1.48","$1,200","37","37",""
"1","574576","S","413 S 27th Street","Temple","Freeman Heights","3","2/0","One","","1934","0.161","1,024","$1.17","$1,200","37","37",""
"1","574175","S","3 E Avenue N","Temple","Temple Original","1","1/0","One","","1934","0.221","693","$1.72","$1,195","73","73",""
"1","574076","S","1806 W Avenue H","Temple","Bellview","2","1/0","One","","1925","0.387","912","$0.99","$900","53","53",""
"1","573181","S","507 Olaf Drive Unit#A","Temple","Liberty Hill Ph II","3","2/0","One","Attached Garage","2004","0.220","1,243","$1.20","$1,495","25","25",""
"1","572420","S","1324 Zetsche Court","Temple","Pecan Crk South Ph 1","3","2/0","One","Attached Garage","2022","0.138","1,532","$1.16","$1,775","10","10",""
"1","572388","S","816 Ticonderoga Drive Unit#B","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.197","1,000","$0.92","$920","31","145",""
"1","570909","S","931 Antelope Trail","Temple","Atascosa Estates","4","2/0","One","","2023","0.179","1,901","$1.18","$2,250","43","43",""
"1","570752","S","927 Antelope Trail","Temple","Atascosa Estates","5","3/0","One","","2023","0.179","2,126","$0.94","$2,000","35","35",""
"1","570620","S","917 Westpoint Drive","Temple","Northwest Hills 2nd Ext","2","2/0","One","","1979","0.198","1,030","$1.17","$1,200","41","41",""
"1","570151","S","1818 S 35th Street","Temple","Dubose Add Ext Blk","4","2/0","One","","1953","0.222","1,734","$0.92","$1,595","10","90",""
"1","570068","S","908 Ticonderoga Drive Unit#B","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.204","1,000","$0.92","$920","18","81",""
"1","569149","S","2701 Scott Boulevard","Temple","Skyline","3","2/0","One","","1963","0.232","2,029","$0.79","$1,600","50","50",""
"1","568932","S","2320 Duntov Drive Unit#B","Temple","Pecan Crk South Ph II","3","2/0","One","Attached Garage","2021","0.165","2,670","$0.51","$1,350","93","93",""
"1","568836","S","605 Brazos Drive","Temple","Western Hills 7th Ext Rep","3","2/0","One","","1985","0.161","1,550","$1.10","$1,700","28","28",""
"1","568040","S","1 N 41st Unit#A","Temple","","2","1/0","One","Entry-Front Garage","1952","0.212","870","$1.32","$1,150","12","12",""
"1","568031","S","3505 Buffalo Trail Unit#ADU","Temple","Western Hills","0","1/0","One","","1962","0.757","750","$1.13","$850","30","91",""
"1","567987","S","3505 Buffalo Trail","Temple","Western Hills","4","3/1","One","Circular Drive","1962","0.757","2,655","$1.05","$2,800","31","92",""
"1","567617","S","1206 Jamestown Drive","Temple","Heritage Place Ph IV","3","2/0","One","","2017","0.152","1,318","$1.13","$1,495","21","21",""
"1","567039","S","1006 S 19th Street","Temple","Tal-Coe Place","2","1/0","One","","1955","0.126","966","$1.24","$1,200","37","37",""
"1","566979","S","2324 Duntov Drive Unit#B","Temple","","3","2/0","One","Attached Garage","2021","0.165","2,520","$0.53","$1,325","155","155",""
"1","566476","S","2125 Meridian Loop","Temple","South Pointe Ph III","3","2/0","One","Attached Garage, Entry-Front Garage","2024","0.134","1,620","$1.14","$1,850","7","69",""
"1","566261","S","1505 S 33rd Street","Temple","Fairview","2","1/0","One","","1950","0.135","870","$1.48","$1,290","78","78",""
"1","566180","S","2306 Duntov Drive Unit#A","Temple","Pecan Creek Est","3","2/0","One","","2021","0.190","1,300","$1.00","$1,300","85","184",""
"1","565524","S","2418 Paul Revere Street Unit#A","Temple","Northwest Hills 1st Ext","2","1/1","One","Attached Carport, Entry-Rear Carport","1977","0.207","2,109","$0.52","$1,100","20","20",""
"1","564871","S","2425 Alterman Drive Unit#A","Temple","Pecan Crk South Ph II","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage, Garage Door Opener(s)","2021","0.191","1,335","$1.12","$1,495","7","7",""
"1","564744","S","2113 S 9th Street","Temple","Hollywood Add","3","2/0","One","Detached Garage, Entry-Rear Garage","1955","0.160","1,154","$1.17","$1,350","10","10",""
"1","564300","S","2072 Dade Loop","Temple","South Pointe Ph II","3","2/0","One","Attached Garage","2020","0.140","1,266","$1.20","$1,525","45","45",""
"1","564281","S","2313 Alterman Drive Unit#B","Temple","Pecan Creek Est","3","2/0","None","","2022","0.190","1,300","$1.15","$1,500","130","130",""
"1","564083","S","3110 Trenton Drive Unit#A","Temple","Northwest Hills 2nd Ext","2","1/0","One","Attached Garage","1981","0.191","1,911","$0.48","$925","15","15",""
"1","563613","S","1921 S 51st","Temple","","3","2/0","One","","1957","0.180","1,131","$1.24","$1,400","55","55",""
"1","562314","S","2313 Alterman Drive Unit#A","Temple","Pecan Creek Est","3","2/0","None","","2022","0.190","2,600","$0.50","$1,299","170","170",""
"1","562180","S","508 Olaf Drive","Temple","Liberty Hill Ph II","3","2/0","One","Attached Carport","2004","0.142","1,325","$1.09","$1,450","28","28",""
"1","561587","S","2416 Duntov Drive Unit#A","Temple","Pecan Creek Est","3","2/0","One","Garage Door Opener(s)","2022","0.170","1,351","$1.11","$1,495","116","125",""
"1","561385","S","924 Campbelton Drive","Temple","Atascosa Estates","4","3/0","Two","","2023","0.165","2,239","$0.96","$2,150","42","42",""
"1","561142","S","1204 Monte Verde Drive","Temple","","3","2/0","One","","2020","0.165","1,271","$1.28","$1,625","112","112",""
"1","560995","S","1023 Westbury","Temple","Heritage Place Ph I","3","2/0","One","Attached Garage, Door-Single, Garage Door Opener(s)","2007","0.152","1,342","$1.15","$1,550","50","50",""
"1","560729","S","2416 Duntov Drive Unit#B","Temple","Pecan Creek Est","3","2/0","One","Garage Door Opener(s)","2022","0.170","1,351","$1.11","$1,495","9","9",""
"1","560622","S","1914 S 9th Street","Temple","Anderson Hendler Add","2","1/0","One","","1947","0.151","784","$1.47","$1,150","66","66",""
"1","560278","S","1412 S 39th Str","Temple","","3","2/0","One","","1940","0.024","1,062","$1.31","$1,390","4","4",""
"1","560229","S","1802 S 45th Street","Temple","Dubose Add Second Extensi","3","1/0","One","","1956","0.237","1,269","$1.10","$1,400","133","133",""
"1","560212","S","1208 S 6th Street","Temple","Bruner Brothers","3","2/0","One","","1943","0.207","2,962","$0.42","$1,250","131","131",""
"1","560164","S","2318 Zanoletti Drive Unit#B","Temple","Pecan Creek South Phase II","3","2/0","One","Attached Garage, Entry-Front Garage","2021","0.025","1,300","$1.04","$1,350","84","84",""
"1","559975","S","2043 Dade Loop","Temple","South Pointe Ph II","4","2/0","One","Attached Garage","2019","0.134","1,741","$1.01","$1,750","15","15",""
"1","559903","S","2306 Valley Forge Avenue Unit#B","Temple","Saulsbury Sub Ph VI","3","2/0","One","","2015","0.190","1,113","$1.12","$1,250","37","37",""
"1","559738","S","2520 Nolan Creek Street","Temple","The Meadows At Creekside Ph","4","2/0","One","","2015","0.179","1,932","$0.96","$1,850","80","80",""
"1","559734","S","915 S 13th Street","Temple","Jones & Moores Add","2","1/0","One","","1938","0.154","924","$1.03","$950","109","109",""
"1","559109","S","1006 S 4th Street","Temple","Bruner","3","2/0","One","","2002","0.143","1,215","$1.11","$1,350","21","21",""
"1","558477","S","2020 Dade Loop","Temple","South Pointe Ph II","3","2/0","One","Attached Garage, Entry-Front Garage","2019","0.134","1,448","$1.07","$1,550","106","106",""
"1","557869","S","1 N 41st Street Unit#A","Temple","COUNTRY CLUB HEIGHTS","2","1/0","One","Attached Garage","1952","0.210","880","$1.53","$1,350","21","52",""
"1","557522","S","1103 Madison","Temple","Heritage Place Ph I","3","2/0","One","","2004","0.152","1,329","$1.13","$1,500","2","2",""
"1","557262","S","1937 Euclid Drive","Temple","South Pointe Ph I","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2019","0.134","1,432","$1.13","$1,625","30","30",""
"1","556849","S","911 Yorktown","Temple","","2","1/0","One","","1978","0.090","950","$1.32","$1,250","1","1",""
"1","556361","S","901 S 45th Street","Temple","N S Draughons Resub","2","2/0","One","","1950","0.224","1,184","$1.01","$1,200","8","8",""
"1","556075","S","1228 Monte Verde Drive","Temple","Monte Verde Ph I","4","2/0","One","","2020","0.235","1,705","$1.00","$1,700","146","146",""
"1","554967","S","1503 S 11th Street Unit#B","Temple","South Park","3","1/0","One","","1950","0.165","1,050","$1.12","$1,175","101","101",""
"1","554513","S","1413 S Martin Luther King Jr Drive Unit#B","Temple","Zander Add","1","1/0","One","","2018","0.121","656","$1.45","$950","14","14",""
"1","553075","S","1814 S 33rd Street","Temple","Dubose Add Ext Blk","3","2/0","One","","1957","0.267","1,257","$1.11","$1,400","68","68",""
"1","552039","S","2405 Alterman Drive Unit#B","Temple","","3","2/0","One","Attached Garage, Entry-Front Garage","2021","0.165","1,260","$1.11","$1,399","43","43",""
"1","552001","S","2011 Dade Loop","Temple","South Pointe Ph II","4","2/0","One","Attached Garage","2020","0.134","1,688","$1.16","$1,950","73","73",""
"1","551549","S","2416 Alterman Drive Unit#A","Temple","Pecan Crk South Ph 2","3","2/0","One","","2021","0.165","1,335","$1.04","$1,395","18","18",""
"1","550958","S","904 Ticonderoga Drive Unit#A","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.190","1,000","$0.92","$920","115","115",""
"1","550629","S","918 S 39th Street Unit#A","Temple","Bellview","3","2/0","One","","2021","0.172","886","$1.19","$1,050","54","54",""
"1","550548","S","2417 Alterman Drive","Temple","Pecan Crk South Ph II","3","2/0","One","","2021","0.165","1,335","$1.04","$1,395","67","67",""
"1","550426","S","1801 S 47th Street","Temple","Dubose Add Second Extensi","3","1/0","One","Attached Garage","1957","0.203","1,068","$1.50","$1,600","75","75",""
"1","550148","S","2412 Alterman Drive Unit#B","Temple","Pecan Crk South Ph 2","3","2/0","One","","2021","0.165","1,335","$1.04","$1,395","18","18",""
"1","550135","S","2410 Patrick Henry Street Unit#A","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","1,001","$1.24","$1,245","37","37",""
"1","550060","S","1615 S 15th Street","Temple","South Park","3","1/0","One","","1952","0.172","1,084","$1.15","$1,250","182","182",""
"1","549989","S","1918 S 11th Street","Temple","Anderson Hendler Add","2","1/0","One","","1952","0.155","1,100","$1.34","$1,475","9","50",""
"1","549863","S","2317 Zanoletti Court Unit#B","Temple","Pecan Crk South Ph II","3","2/0","One","Attached Garage","2021","0.163","2,520","$0.55","$1,375","32","32",""
"1","549499","S","2329 Zanoletti Court Unit#B","Temple","","3","2/1","Two","","2021","0.262","2,890","$0.52","$1,495","7","7",""
"1","548637","S","2415 Petersburg Lane","Temple","Heritage Place Ph VI","3","2/0","One","","2019","0.136","1,350","$1.33","$1,800","14","14",""
"1","548604","S","812 Ticonderoga Drive Unit#D","Temple","Northwest Hills 3rd Ext","2","1/1","Two","","1984","0.184","1,000","$0.09","$92","31","31",""
"1","548265","S","610 Rogers Street","Temple","Little Bluestem Add","3","2/0","One","","1997","0.211","1,116","$1.25","$1,400","75","75",""
"1","547898","S","2414 Patrick Henry Street Unit#B","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","1,001","$1.24","$1,245","29","29",""
"1","547579","S","2410 Patrick Henry Street Unit#B","Temple","Northwest Hills 1st Ext","2","1/1","Two","Attached Garage","1981","0.182","1,001","$1.24","$1,245","24","24",""
"1","547232","S","2324 Alterman Drive Unit#A","Temple","Pecan Creek","3","2/0","One","Attached Garage","2021","0.165","2,670","$0.50","$1,325","41","41",""
"1","547224","S","2324 Alterman Drive Unit#B","Temple","Pecan Creek","3","2/0","One","Attached Garage","2021","0.165","2,670","$0.50","$1,325","37","37",""
"1","546609","S","2044 Dade Loop","Temple","South Pointe Ph II","3","2/0","One","Attached Garage, Entry-Front Garage","2021","0.134","1,266","$1.30","$1,650","14","14",""
"1","544331","S","913 S 13th Street","Temple","Jones & Moores Add","3","2/0","One","","1952","0.130","1,099","$1.16","$1,275","92","92",""
"1","544316","S","1309 S 3rd Street Unit#B","Temple","Robertson","1","1/0","One","","1943","0.141","1,924","$0.44","$850","263","263",""
