start,end,text
231000,237000," and the available inventory. Alright, so, the financing."
237000,242000," This is one thing that I think sets Stylecraft apart, just in general,"
242000,249000," is that they offer 4.99% fixed financing for 30 years."
249000,256000," Or, if you want to use your own lender, you can get the $20,000 flex cash."
256000,261000," Now, these incentives change monthly. So, in August, they're going to August 2026."
261000,264000," They're going to have new incentives."
264000,272700," But, I've done deals almost every other month with Stylecraft, and their incentives are based off"
272700,274000," of the supply and demand."
274000,280000," And they've been staying pretty steady recently. So, I would expect them to be right around there."
280000,289720," Now, what does that mean for you? So, at a 4.99% interest rate, on a $315,000 house you're looking"
289720,290000," at,"
290000,302000," about 1600 a month, whereas at the market interest rate, which is going to be all right here,"
302000,308000," you get your market interest rate, you're looking at a $300 savings per month."
308000,323000," So why is that important? Because number one, over five years, that equates to about $20,000."
323000,328000," And number two, it gives you leverage on your exit strategy on the property."
328000,333500," You can resell the property, you can rent it out, you're going to have a lot more wiggle room with"
333500,336000," a lower monthly payment."
338000,346400," Which is great, especially on the neighborhood in South Pointe where the entry price is right"
346400,348000," around $220,000."
348000,354020," You're going to be able to live comfortably in that. You're going to be able to stack up some money"
354020,359000," and kind of start building towards the next thing."
359000,362000," Now..."
369000,375110," Alright, so you're saying, ""Taylor, what's the catch here?"" The catch is that if you, to get this"
375110,389000," fixed interest rate, you have to go with Kangaroo Lending, which is like 49% owned by Stylecraft."
396000,402000," So they are, they are kind of building their own company with that. They are..."
423000,432000," So you have to use their lender for these incentives. If you do not use a stylecraft lender from kangaroo"
432000,440000," lending, you're gonna forfeit the interest rate. Now for the flex cash, you can still use that."
440000,448000," I don't like it whenever builders use their own in-house lending to lower the interest rate,"
448000,454000," but I definitely see the business side of it. So listen, what do you do with this information?"
454000,460000," Now you compare your lender, which I'm gonna get you set up and just as a side note,"
460000,468000," three of the past five closings I've had with Stylecraft. Now, just as a side note,"
468000,476000," about 75% of my clients have used about 75% of my clients that went with a stylecraft home"
476000,485410," have used my lender. So be sure to weigh the extra fees, weigh the interest rate, the payment, the"
485410,488000," savings overall"
488000,492000," and then make your decision and I'm gonna help you out with all of that."
492000,498000," I'm gonna make sure you have all of the information before even writing the contract."
506000,529120," Alright, one more thing till we get to the next. One more thing and then we're gonna get to the"
529120,531000," next section of this video."
531000,542000," Whenever I did my research on this video, there is another builder offering, very low incentives."
542000,560000," There's another builder offering."
560000,567000," There's another builder who price matched Stylecraft's incentive rate where we can compare them."
567000,572000," I'm going to get you set up with the best new construction for you."
572000,581000," But first, let's get on to what you're actually buying whenever you buy a Stylecraft home."
581000,588230," First, let's get into Stylecraft. They were founded in 1988 out of college stations, and from what"
588230,593830," I have access to, they had 973 closings last year, and they're a top 75 builder in all of the"
593830,595000," United States."
595000,601190," As far as the quality of the homes themselves, so they are engineered slab, which is a big one in"
601190,602000," Texas."
602000,608310," You have James Hardy siding, you get granite countertops, and then smart home systems that come as"
608310,610000," the standard package."
610000,616540," Now, here's the part that I'm not going to leave out. Listen, I have closed quite a few Stylecraft"
616540,617000," homes."
617000,623000," We've done inspections on all of them, and I've never had one single large issue."
623000,629100," It's always been something cosmetic. Now, there are a few reports that show plumbing issues or"
629100,630000," drainage issues."
630000,634000," That is something that you have to get checked out. That's why I always say get an inspection."
634000,640990," I'll pay for the inspection. Just make sure you get it done because you don't want something like"
640990,644000," that to bite you in the future."
644000,650180," Now, with that, the other reason for the inspection is that you have proof showing that this house"
650180,651000," was good."
651000,656000," So, whenever you have to get a warranty on something, you can say, ""Look, here's the inspection."
656000,663000," This is how everything was and now where it's at."" For their warranties, you have one year door-to-door."
663000,670000," So, what I tell people is, if something's really bothering you, give him a call to the warranty guy."
670000,674000," You're going to have his number. He's going to get you set up."
674000,680100," The one complaint I have had from one of my clients is that they do sometimes take a while to get"
680100,681000," back to you."
681000,686690," They're always right back with me, and I told them, ""Get with my client,"" and they got right with"
686690,687000," my client."
687000,694000," So, props to them for that. At the very end of the one year door-to-door, give them a call."
694000,699000," Write down every single little, tiny, picky thing that you can think of and have them come fix it."
699000,703700," It's free. It's under warranty. If you don't get it during the first year, you're not going to get"
703700,704000," it."
704000,710000," So, they have a two-year warranty on the system, so the plumbing, the HVAC, the electrical,"
710000,717000," and then a 10-year structural warranty. That comes pretty standard with new builders here."
717000,722000," One other thing I will say about the quality is that every single one of these properties"
722000,726000," has to get approved by the city. They have to pull permits."
726000,730000," It's all documented that the work was done correctly."
730000,735000," If you've had to deal with any permits, I will tell you, it is not an easy process."
735000,738000," They don't just say, ""Oh, this looks okay. You're good."""
738000,742000," Now, they come in and they inspect it, and they want to ding you on things"
742000,745000," so that they can come out and re-inspect it."
745000,749000," And then for the inspection, another reason to get the inspection is that"
749000,754000," if, for some reason, you decide to sell in, you know, three, five, seven, ten years,"
754000,761000," that inspection is probably still going to be pretty accurate, which is useful for me."
761000,767000," As a realtor, I can upload the inspection that way you overcome a lot of buyer objections"
767000,769000," just by having the inspection up."
769000,775000," All right, so I see a lot of people make this mistake, especially with new construction."
775000,778000," The price that you see on Zillow, the price that you see on realtor,"
778000,782000," is not the actual price as far as the monthly payment goes."
782000,788000," The price is likely based off of the county assessment whenever there was no house on the property."
788000,795140," So you have to keep that in mind, and then what they are advertising is going to be principal and"
795140,796000," interest payment."
796000,799000," They're not factoring taxes and insurance."
799000,805000," Which, by the way, with any new construction, your insurance payment is going to be lower,"
805000,811000," so there's a few offering, like, $69 per month if you go with their in-house insurance."
811000,815000," But you're going to actually be cutting costs on that, and if you buy a new construction,"
815000,820000," because you buy a resale home, especially an older one, the insurance is going to go up."
820000,828000," So like I always say, always check the percentage taxes, the NUD, the PID."
828000,834000," And in fact, what that is monthly based off of the price that they are listed at."
834000,842000," So a few cons here is that Stylecraft, they do pretty much like a gold date in their contracts."
842000,848000," So how the process works is you get under contract, we're going to do the negotiating."
848000,850000," I'm going to get you the best deal possible."
850000,854000," And then they're going to set a time for an initial walkthrough."
854000,857000," The initial walkthrough, one to two weeks before closing."
857000,862000," Now that is whenever you're going to go in, you've already got the third party inspection."
862000,865000," They already should be taking care of those things."
865000,871000," You're going to go in and you're going to put your blue tape on every little defect that you see."
871000,877470," And then the next week you're going to go in and say, ""Hey, this looks good?"" or ""This doesn't look"
877470,878000," good."""
878000,883000," And then they're going to make sure they get every single item fixed and then you'll close."
883000,887000," One thing I will say for Stylecraft, I don't know what the deal is."
887000,895000," Every single appraisal that I've done with them has come back quite a bit higher, like $10,000 to $15,000"
895000,896000," higher"
896000,900000," than what we have in our contract for, and that's not including the rate buy downs."
900000,906000," The additions and the flex cash that you're going to be using in the transaction."
906000,910000," All right, so who is Stylecraft for and who is Stylecraft not for?"
910000,918000," So I think Stylecraft is an amazing builder for someone who values that lower monthly payment,"
918000,924000," who's okay with being an entry price point in a neighborhood that may be a little bit further out"
924000,931650," from Central Temple, Belton, etc. If you're okay with, I don't even want to say lower quality"
931650,932000," finishes"
932000,938020," because the one thing I love about Stylecraft is the price is lower but they're still giving you"
938020,940000," nice finishes"
940000,945990," in my opinion. Now you're not going to be like Kiela level finishes, Corothers or something"
945990,946000," obviously,"
946000,952030," but for the price point I think that's why I rank them highly because you're getting decent"
952030,953000," finishes."
953000,961000," You should not go with Stylecraft if you want to make customizations. They're not going to change"
961000,966000," anything. Typically they've already ordered everything for the property. Maybe if you"
966000,971000," get in super early on, but I have not had success with getting them to change something."
991000,1003380," and then if you have pretty much like a low tolerance for having to wait for these people to get to"
1003380,1004000," you after closing."
1004000,1011000," I only say that because I don't want to risk you guys going with a Stylecraft home and then what."
1011000,1017330," and then they don't get back with you just like what happened to my client until I say something or"
1017330,1018000," your realtor says something."
1018000,1027000," so keep that in mind that's just my personal experience."
1027000,1035450," and then if you want to be like in a certain section of Temple there they are I feel like they're"
1035450,1037000," they find these opportunities"
1037000,1043030," and that to fill up vacancy on the market and then they take them which is another reason I really"
1043030,1047000," like them but they're not in all of the most popular neighborhoods"
1047000,1051000," in the Temple, Belton area."
1077000,1081000," (footsteps)"
1107000,1121990," Now, with that being said, they are in 12 communities, they just pushed into Troy, 4 different"
1121990,1124000," school districts,"
1124000,1136000," and then pricing from 220 all the way up to the low 400s in this neighborhood homestead."
1136000,1144070," With the pricing from like the 220,000 pointe in South Pointe to all the way up to the low 400,000s"
1144070,1147000," right where we're at now in the homestead."
1166000,1187000," All right, so tailors. All right. All right. So my take on Stylecraft, we're going to give them 3.9."
1187000,1194490," That is based off of the Temple, Belton, Area Builders. That's based off of the price. It's the"
1194490,1195000," quality."
1195000,1203000," The customer service, the smoothness of the transaction, how they care for you after closing."
1203000,1210650," And then my general experience with them so far. So take that with a grain of salt. I do work with"
1210650,1213000," them quite often."
1225000,1252000," [Music]"
1252000,1259380," But the most important thing, like I always say, is do not go into a Stylecraft model home by"
1259380,1260000," yourself."
1260000,1266660," You want to have somebody there who is objectively, who is viewing your situation, who is a"
1266660,1272000," professional, and who is working for what is best for you."
1272000,1280670," And then you also, what brings you leverage is going to be the inventory, the options that you have"
1280670,1282000," available."
1282000,1287580," So if you go into a model home, you speak with a builder, they can already probably tell in your"
1287580,1289000," eyes that you like it."
1289000,1293000," And you haven't seen all the other builders, you probably think you're going to get a good deal."
1293000,1298140," But then whenever you buy the property and then you're down the line, you realize you're in really"
1298140,1300000," big trouble with the equity in this thing."
1300000,1307000," Or whatever the case is, it's always best because they're not going to say, ""Yeah, this one's overpriced."""
1307000,1317000," But I will tell you that, I will make sure that you are getting the best deal for you."
1317000,1327000," That is the full Stylecraft breakdown. There is a super detailed page on my website, TempleTexasHomes.net/Stylecraft."
1327000,1333030," It's going to be right down below. If you are buying new construction in Temple, if you're relocating"
1333030,1336000," to Temple, please reach out to me."
1336000,1346000," I'm working with people just like you every single day. I would love to have a private conversation."
1346000,1352000," I'd love to have a private conversation with you and see if we will be a good fit working together."
1352000,1356000," I hope you all enjoyed this video. Let's get it."
1357000,1364000," Look, I'm going to try. This may not go in the video because it's a comparison."
1364000,1370000," I was told to not do any more comparisons. We'll see. I don't know."
1370000,1376600," So how does Stylecraft compare? I think Stylecraft, in my opinion, is going to be a step up kind of"
1376600,1378000," above the D.R. Horton"
1378000,1385000," and the Linner, new construction, but then kind of a step down right below Omega."
1385000,1390000," And they're pricing reflects that. And they're pricing actually reflects that and then some."
1390000,1395700," They're actually going to give you a better deal. I think based off of just value alone, they're a"
1395700,1397000," very good builder."
1397000,1402000," A very good option here in Temple."
1402000,1408000," The one thing is you're not going to, it's not common to see like quartz countertops."
1408000,1415000," Whereas, you know, Omega or Kiela, they'll throw some quartz countertops in from time to time."
1415000,1422000," The flooring, I personally really like Stylecraft's flooring, but you know, objectively."
1422000,1430000," I mean, Corothers and Kiela, they have nicer finishes. Their homes are also quite a bit cheaper."
1430000,1434000," So, I think value definitely is there in a Stylecraft home."
1434000,1440000," The super premium finishes, they're not going to be like you would be in like Corothers or Kiela."
1440000,1451000," And then customer service, I think, I like them a lot of the times like linear, especially."
1451000,1455000," The transactions are not smooth, they're not coordinated well."
1455000,1462000," There's just a lot of things that I can see on my end that also spills over into the customer"
1462000,1463000," service on your end."
1463000,1468500," I know if you go with a Stylecraft home, worst case scenario, I'm going to reach out to them and"
1468500,1469000," say,"
1469000,1475000," ""Hey, they bought a house with you guys, get them set up, and they're going to get you set up."""
1475000,1480000," Alright. Alright, so now for the review."
1485000,1493710," One last little quick bit on Stylecraft that it, for me, it means a lot because I put a high value"
1493710,1496000," in putting the client first."
1496000,1503490," Their customer service has been great. I've asked them to come do a video on a day that they're off"
1503490,1505000," and they will send somebody up there."
1505000,1511250," I've never not been able to see a Stylecraft home. They respond fast. Their transactions are very"
1511250,1512000," well laid out."
1512000,1518030," They typically will have a builder rep in every single model. The builder reps know what they're"
1518030,1522000," talking about with the Stylecraft homes."
1522000,1531190," So I personally like that. I think that's a huge sign that they are training people right, that"
1531190,1535000," they're doing right, and that they're training people right."
1535000,1544000," And that they're training people right, and that they have a system that they know."
1544000,1554000," If they put the client, the customer first, it's going to pay them back in the long run, which is a..."
1554000,1559000," Which is something that I think is 100% true. All right."
