start,end,text
379800,388200," you have to go with Kangaroo Lending, which is like 49% owned by Stylecraft."
396120,414440," so they are, they are kind of building their own company with that, they are."
423560,431520," So you have to use their lender for these incentives. If you do not use a stylecraft lender from"
431520,432040," Kangaroo"
432040,438280," Lending, you have, you're going to forfeit your, the interest rate. Now for the flex cash, you can"
438280,446830," still use that. I don't like it whenever builders, they, they use their own in-house lending to"
446830,447080," lower"
447080,452920," the interest rate, but I, I definitely see the business side of it. So listen, what do you do"
452920,458760," with this information? Now you compare your lender, which I'm going to get you set up and just as a"
458760,466520," side note, three of the past five closings I've had with stylecraft. Now just as a side note,"
466520,475720," about 75% of my clients have used, about 75% of my clients that went with a stylecraft home"
476360,485320," have used my lender. So be sure to weigh the extra fees, weigh the interest rate, the payment,"
485320,492120," the savings overall, and then make your decision. And I'm going to help you out with all of that."
492120,503160," I'm going to make sure you have all of the information before even writing the contract."
506360,528840," All right, one more thing till we get to the next. One more thing, and then we're going to get to"
528840,530360," the next section of this video."
536360,542390," Whenever I did my research on this video, there is another builder offering very low incentives."
542390,559160," There's another builder offering."
559960,567000," There's another builder who price matched Stylecraft's incentive rate where we can compare them. I'm"
567000,567160," going to"
567160,575480," get you set up with the best new construction for you. But first let's get, but first let's get"
575480,576120," onto"
576120,582360," what you're actually buying whenever you buy a Stylecraft home. All right first let's get into"
582360,589000," Stylecraft's. So they were founded in 1988 out of college stations and from what I have access to,"
589000,595480," they had 973 closings last year and they're a top 75 builder in all of the United States."
595480,601560," As far as the quality of the homes themselves, so they are engineered slab which is a big one in"
601560,602120," Texas."
602120,608920," You have James Hardie siding, you get granite countertops and then smart home systems that come"
608920,615480," as the standard package. Now here's the part that I'm not going to leave out. Listen I have closed"
615480,620760," quite a few stylecraft homes. We've done inspections on all of them and I've never had"
620760,627400," one single large issue. It's always been something cosmetic. Now there are a few reports that show"
627400,633000," plumbing issues or drainage issues. That is something that you have to get checked out. That's why"
633000,633080," I"
633080,639720," always say get an inspection. I'll pay for the inspection. Just make sure you get it done because"
639720,646120," you don't want something like that to bite you in the future. Now with that, the other reason for"
646120,652520," the inspection is that you have proof showing that this house was good. So whenever you have to"
652520,658040," get a warranty on something, you can say, ""Look, here's the inspection. This is how everything was"
658040,664920," and now where it's at."" For their warranties, you have one-year door-to-door. So what I tell people"
664920,671160," is, if something's really bothering you, give him a call to the warranty guy. You're going to"
671160,677800," have his number. He's going to get you set up. The one complaint I have had from one of my clients"
677800,682920," is that they do sometimes take a while to get back to you. They're always right back with me,"
682920,687320," and I told them, ""Now you get with my client and you got right with my client."" So props"
687320,695000," them for that. At the very end of the one-year door-to-door, give them a call, write down every"
695000,695560," single"
695560,700680," little tiny picky thing that you can think of, and have them come fix it. It's free. It's under"
700680,701240," warranty."
701240,705720," If you don't get it during the first year, you're not going to get it. So they have a two-year"
705720,706280," warranty"
706280,712840," on the system, so the plumbing, the HVAC, the electrical, and then a 10-year structural warranty."
714040,719320," That comes pretty standard with new builders here. One other thing I will say about the quality"
719320,725640," is that every single one of these properties has to get approved by the city. They have to pull"
725640,731240," permits. It's all documented that the work was done correctly. If you've had to deal with any"
731240,736920," permits, I will tell you, it is not an easy process. They don't just say, ""Oh, this looks okay. You're"
736920,743400," good."" No, they come in and they inspect it, and they want to ding you on things so that they can"
743400,748680," come out and re-inspect it. And then for the inspection, another reason to get the inspection"
748680,753800," is that if for some reason you decide to sell in, you know, three, five, seven, ten years,"
753800,761080," that inspection is probably still going to be pretty accurate, which is useful for me as a"
761080,766920," realtor. I can upload the inspection that way you overcome a lot of buyer objections just by"
766920,773800," having the inspection out. All right, so I see a lot of people make this mistake, especially with"
773800,779240," new construction. The price that you see on Zillow, the price you see on realtor is not the actual"
779240,785400," price as far as the monthly payment goes. That price is likely based off of the county assessment"
785400,791320," whenever there was no house on the property. So you have to keep that in mind. And then what"
792040,797880," they are advertising is going to be principal and interest payment. They're not factoring taxes"
797880,805160," and insurance. Which, by the way, with any new construction, your insurance payment is going to be"
805160,811080," lower. So in, there's a few offering like $69 per month if you go with their in house insurance,"
811080,816120," but you're going to actually be cutting costs on that. And if you buy new construction because"
816120,821400," you buy a resell home, especially an older one, the insurance is going to go up. So like I always"
821400,830530," say, always check the percentage taxes, the NUD, the PID. And then factor what that is monthly"
830530,830840," based"
830840,839640," off of the price that they are listed at. So a few cons here is that Stylecraft, they do pretty"
839640,839880," much"
839880,845960," like a gold date in their contracts. So how the process works is you get under contract,"
845960,850440," we're going to do the negotiating. I'm going to get you the best deal possible. And then"
851000,856440," they're going to set a time for an initial walkthrough. The initial walkthrough one to two weeks"
856440,856760," before"
856760,861960," closing. Now that is whenever you're going to go in, you've already got the third party inspection."
861960,865880," There already should be taking care of those things. You're going to go in and you're going"
865880,873240," to put your blue tape on every little defect that you see. And then the next week you're going to"
873240,879160," go in and say, Hey, this looks good or this doesn't look good. And then they're going to make sure"
879160,885960," they get every single item fixed and then you'll close. One thing I will say for Stylecraft, I don't"
885960,891080," know what I don't know what the deal is. Every single appraisal that I've done with them has come"
891080,891400," back"
891400,898600," quite a bit higher, like 10 to $15,000 higher than what we have in our contract for. And that's"
898600,905240," not including the rate buy downs. The additions and the flex cash that you're going to be using in"
905240,911400," the transaction. Alright, so who is Stylecraft for and who is Stylecraft not for? So I think"
911400,919480," Stylecraft is an amazing builder for someone who values that lower monthly payment, who's okay with"
919480,925880," being an entry price point in a neighborhood that may be a little bit further out from Central"
925880,932360," Temple, Belton, etc. If you're okay with, I don't even want to say lower quality finishes because"
932920,939640," one thing I love about Stylecraft is the price is lower, but they're still giving you a nice"
939640,945160," finishes in my opinion. Now, you're not going to be like, hella level finishes, Carothers,"
945160,950760," or something, obviously, but for the price point, I think that's why I ranked them highly because"
950760,958760," you're getting decent finishes. You should not go with Stylecraft if you want to make"
958760,963240," customizations. They're not going to change anything. Typically, they've already ordered"
963240,969640," everything for the property. Maybe if you get in super early on, but I have not had success"
969640,996080," with getting them to change something."
996080,1003700," And then if you have a low tolerance for having to wait for these people to get to you after"
1003700,1012560," closing, I only say that because I don't want to risk you guys going with a Stylecraft home."
1012560,1016440," And then they don't get back with you just like what happened to my client until I say"
1016440,1019160," something or your realtor says something."
1019160,1027600," So keep that in mind, that's just my personal experience."
1027600,1036440," And then if you want to be in a certain section of Temple, they are, I feel like they find"
1036440,1042200," these opportunities and that to feel a vacancy on the market and then they take them, which"
1042200,1046780," that's another reason I really like them, but they're not in all of the most popular"
1046780,1049200," neighborhoods in the Temple, Belton area."
1076780,1079780," (crickets chirping)"
1106780,1109780," (crickets chirping)"
1109780,1118780," Now, with that being said, they are in 12 communities."
1118780,1123780," They just pushed into Troy, four different school districts."
1123780,1135780," And then pricing from 220 all the way up to the low 400s in this neighborhood homestead."
1135780,1143850," With the pricing from like the 220,000 pointe in South Pointe to all the way up to the low 400,000s"
1143850,1146780," right where we're at now in the homestead."
1165780,1186900," All right, so Taylors, all right. All right, so my take on Stylecraft, we're going to give them 3.9,"
1186900,1193780," that is based off of the Temple, Belton area builders, that's based off of the price."
1193780,1200100," That's the quality, the customer service, the smoothness of the transaction, how they care"
1200100,1207700," for you after closing, and then my general experience with them so far. So take that with"
1207700,1219140," the grain of salt. I do work with them quite often."
1237700,1259340," but the most important thing like I always say is do not go into a stylecraft model home by"
1259340,1266700," yourself. You want to have somebody there who is objectively, who is viewing your situation,"
1266700,1276700," who is a professional and who is working for what is best for you. What brings you leverage"
1276700,1283880," is going to be the inventory, the options that you have available. If you go into a model"
1283880,1289980," home, you speak with a builder, they can already probably tell in your eyes that you like it."
1289980,1293140," You haven't seen all the other builders. You probably think you're going to get a good"
1293140,1297520," deal, but then whenever you buy the property and then you're down the line, you realize"
1297520,1303300," you're in really big trouble with the equity in this thing or whatever the case is. It's"
1303300,1307740," always best because they're not going to say, ""Yeah, this one's overpriced."" But I will"
1307740,1318140," tell you that. I will make sure that you are getting the best deal for you. That is the"
1318140,1327080," full Stylecraft Breakdown. There is a super detailed page on my website, templetexashomes.net/stylecraft."
1327080,1331860," It's going to be right down below. If you are buying new construction in Temple, if"
1331860,1337140," you're relocating to Temple, please reach out to me. I'm working with people just like"
1337140,1347300," you every single day. I would love to have a private conversation. I love to have a private"
1347300,1352860," conversation with you and see if we will be a good fit working together. I hope you"
1352860,1363020," all enjoy this video. Let's get it. Look, I'm going to try. This may not go in the video"
1363020,1369700," because it's a comparison. I was told to not do any more comparisons. We'll see. I don't"
1369700,1374820," know. So, how does Stylecraft compare? So, I think Stylecraft, in my opinion, is going"
1374820,1382540," to be a step up, kind of above the D.R. Horton and the Lennar new construction, but then kind"
1382540,1388220," of a step down right below Omega. And they're pricing reflects that. And they're pricing"
1388220,1392140," actually reflects that and then some. They're actually going to give you a better deal."
1392140,1398500," I think based off of just value alone, they're a very good builder, a very good option here"
1398500,1406100," in Temple. The one thing is you don't, you're not going to, it's not common to see like"
1406100,1413340," quartz countertops, whereas, you know, Omega or Kiella, they'll throw some quartz countertops"
1413340,1419620," in from time to time. The flooring, I personally really like Stylecraft's flooring, but you"
1419620,1428260," know, objectively, I mean, Carothers and Kiella, they have nicer finishes. Their homes are"
1428260,1434740," also quite a bit cheaper. So, I think value definitely is there in a Stylecraft home."
1434740,1439880," The super premium finishes, they're not going to be like you would be in like Carothers"
1439880,1450100," or Kiella. And then, customer service, I think, I like them a lot of the times, like"
1450100,1456060," Lennar, especially the transactions are not smooth, they're not coordinated well. There's"
1456060,1462340," just a lot of things that I can see on my end that also spills over into the customer service"
1462340,1468220," on your end. I know if you go with a Stylecraft home, worst case scenario, I'm going to reach"
1468220,1473100," out to them and say, ""Hey, they bought a house with you guys, get them set up and they're"
1473100,1485500," going to get you set up."" Alright, so now for the review."
1485500,1493340," One last little quick bit on Stylecraft. For me, it means a lot because I put a high value"
1493340,1501180," in putting the client first. Their customer service has been great. I've asked them to"
1501180,1505740," come do a video on a day that they're off and they will send somebody up there. I've"
1505740,1512020," never not been able to see a Stylecraft home. They respond fast. Their transactions are very"
1512020,1516900," well laid out. They typically will have a builder rep and every single model. The builder"
1516900,1524420," reps know what they're talking about with these Stylecraft homes. So I personally like"
1524420,1531980," that. I think that's a huge sign that they are training people right, that they're doing"
1531980,1540460," right and they're not, that they're training people right and that they're training people"
1540460,1546220," right and that they have a system that they know. If they put the client, the"
1546220,1550940," customer first, it's going to pay, it's going to pay them back in the long run"
1550940,1556540," which is a, which is something that I think is 100% true."
1556540,1559500," All right."
1570460,1580460," [ Silence ]"
1600460,1610460," [ Silence ]"
1630460,1640460," [ Silence ]"
