start,end,text
377080,387000," to get this fixed interest rate, you have to go with Kangaroo Lending, which is like 49% owned"
387000,408920," by Stylecraft. So, they are, they are kind of building their own company with that. They are,"
417000,431260," so you have to use their lender for these incentives. If you do not use a style craft lender"
431260,437640," from Kangaroo Lending, you're going to forfeit your, the interest rate. Now, for the flex"
437640,444280," cash, you can still use that. I don't like it whenever builders, they, they use their"
444280,450080," own in-house lending to lower the interest rate, but I, I definitely see the business"
450080,456920," side of it. So listen, what do you do with this information? Now you compare your lender,"
456920,462320," which I'm going to get you set up and, and just as a side note, three of the past five"
462320,470560," closings I've had with Stylecraft. Now, just as a side note, about 75% of my clients have"
470560,478980," used, about 75% of my clients that went with a Stylecraft home have used my lender. So be"
478980,488440," sure to weigh the extra fees, weigh the, the interest rate, the payment, the savings overall,"
488440,492320," and then make your decision. And I'm going to help you out with all of that. I'm going"
492320,503480," to make sure you have all of the information before even writing the contract. All right,"
503480,506840," one more thing till we get to the next, one more thing, and then we're going to get to"
506840,517680," the next section of this video. Whenever I did my research on this video, there is another"
517680,524560," builder offering, very low incentives. There's another builder offering."
524560,544080," There's another builder who price matched Stylecraft's incentive rate where we can"
544080,551360," compare them. I'm going to get you set up with the best new construction for you. But first let's"
551360,551600," get"
551600,556880," but first let's get on to what you're actually buying whenever you buy a Stylecraft home."
556880,565600," Alright first let's get into Stylecraft. So they were founded in 1988 out of college station and"
565600,572240," from what I have access to they had 973 closings last year and they're a top 75 builder in all"
572240,577440," of the United States. As far as the quality of the homes themselves so they are engineered slab"
577440,583760," which is a big one in Texas. You have James Hardie siding, you get granite countertops"
583760,589920," and then smart home systems that come as the standard package. Now here's the part that I'm"
589920,596160," not going to leave out. Listen I have closed quite a few Stylecraft homes. We've done inspections"
596160,596480," on"
596480,603680," all of them and I've never had one single large issue. It's always been something cosmetic."
603680,609600," Now there are a few reports that show plumbing issues or drainage issues. That is something that"
609600,614480," you have to get checked out. That's why I always say get an inspection. It's, I'll pay for the"
614480,620240," inspection. Just make sure you get it done because you don't want something like that to bite you"
621040,627680," in the future. Now with that, the other reason for the inspection is that you have proof showing"
627680,633040," that this house was good. So whenever you have to get a warranty on something, you can say look,"
633040,639280," here's the inspection. This is how everything was and now where it's at. For their warranties,"
639280,645520," you have one year door to door. So what I tell people is if something's really bothering you,"
645520,651600," give him a call to the warranty guy. You're going to have his number. He's going to get you set up."
651600,658160," The one complaint I have had from one of my clients is that they do sometimes take a while to get"
658160,658400," back"
658400,663920," to you. They're always right back with me and I told them, hey, get with my client. They got"
663920,670080," right with my client. So props them for that. At the very end of the one year door to door,"
670800,676000," give them a call. Write down every single little, tiny, picky thing that you can think of and have"
676000,681120," them come fix it. It's free. It's under warranty. If you don't get it during the first year, you're"
681120,687040," not going to get it. So they have a two year warranty on the system. So the plumbing, the HVAC,"
687040,693680," the electrical, and then a 10 year structural warranty. Death comes pretty standard with new"
693680,699280," builders here. One other thing I will say about the quality is that every single one of these"
699280,706480," properties has to get approved by the city. They have to pull permits. It's all documented"
706480,710960," that the work was done correctly. If you've had to deal with any permits, I will tell you,"
710960,716560," it is not an easy process. They don't just say, ""Oh, this looks okay. You're good."" No, they come"
716560,716720," in"
716720,722880," and they inspect it and they want to ding you on things so that they can come out and re-inspect it."
722880,728160," And then for the inspection, another reason to get the inspection is that if, for some reason,"
728160,734720," you decide to sell in, you know, 3, 5, 7, 10 years, that inspection is probably still going to be"
734720,741360," pretty accurate, which is useful for me as a realtor. I can upload the inspection that way."
741360,748640," You overcome a lot of buyer objections just by having the inspection up. All right, so I see a"
748640,754640," lot of people make this mistake, especially with new construction. The price that you see on Zillow,"
754640,759600," the price that you see on realtor is not the actual price as far as the monthly payment goes."
759600,765760," That price is likely based off of the county assessment whenever there was no house on the property."
765760,771920," So you have to keep that in mind. And then what they are advertising is going to be"
771920,776480," principal and interest payment. They're not factoring taxes and insurance,"
776480,784240," which by the way, with any new construction, your insurance payment is going to be lower. So in"
784640,789040," there's a few offering like $69 per month if you go with their in-house insurance,"
789040,794080," but you're going to actually be cutting costs on that. And if you buy new construction because"
794080,798000," you buy a resale home, especially an older one, the insurance is going to go up."
798000,807120," So like I always say, always check the percentage taxes, the NUD, the PID, and then factor what"
807120,814560," that is monthly based off of the price that they are listed at. So a few cons here is"
814560,822080," that Stylecraft, they do pretty much like a gold date in their contracts. So how the process works"
822080,827200," is you get under contract, we're going to do the negotiating, I'm going to get you the best deal"
827200,833680," possible. And then they're going to set a time for an initial walkthrough. The initial walkthrough"
833680,838400," one to two weeks before closing. Now that is whenever you're going to go in, you've already"
838400,842960," got the third party inspection. There already should be taking care of those things. You're"
842960,848400," going to go in and you're going to put your blue tape on every little defect that you see."
848400,855460," And then the next week you're going to go in and say, hey, this looks good or this doesn't look"
855460,856160," good."
856160,860720," And then they're going to make sure they get every single item fixed and then you'll close."
860720,867200," One thing I will say for Stylecraft, I don't know what the deal is. Every single appraisal that"
867200,874560," I've done with them has come back quite a bit higher, like $10,000 to $15,000 higher than what we"
874560,881600," have in our contract for. And that's not including the rate buy downs, the additions and the flex"
881600,881920," cash"
881920,886800," that you're going to be using in the transaction. All right, so who is Stylecraft for and who is"
886800,894880," Stylecraft not for? So I think Stylecraft is an amazing builder for someone who values that"
894880,901040," lower monthly payment who's okay with being an entry price point in a neighborhood that may be a"
901040,908690," little bit further out from Central Temple, Belton, etc. If you're okay with, I don't even want to"
908690,908960," say"
908960,914800," lower quality finishes because the one thing I love about Stylecraft is the price is lower but"
914800,920880," they're still giving you a nice finishes in my opinion. Now you're not going to be like"
920880,926400," Kill level finishes, Carothers or something obviously but for the price point I think"
926400,934480," that's why I ranked them highly because you're getting decent finishes. You should not go with"
934480,939680," Stylecraft if you want to make customizations. They're not going to change anything. Typically"
939680,946000," they've already ordered everything for the property. Maybe if you get in super early on"
946000,962560," but I have not had success with getting them to change something."
973920,980960," and then if you have pretty much like a low tolerance for having to wait for these people to get to"
980960,981360," you"
981360,987830," after closing, I only say that because I don't want to risk you guys going with a stylecraft home"
987830,987840," and"
987840,995130," then they don't get back with you just like what happened to my client until I say something or"
995130,995440," your"
995440,1006000," realtor says something. So keep that in mind, that's just my personal experience. And then if you"
1006000,1006320," want"
1006320,1014560," to be like in a certain section of temple, they are, I feel like they're, they find these"
1014560,1015680," opportunities"
1015680,1021120," and that to fill up vacancy on the market and then they take them, which is another reason I really"
1021120,1028960," like them, but they're not in all of the most popular neighborhoods in the Temple Belton area."
1051120,1061120," [Music]"
1081120,1098990," Now, with that being said, they are in 12 communities, they just pushed into Troy, 4 different"
1098990,1110960," school districts, and then pricing from 220 all the way up to the low 400s."
1110960,1119640," In this neighborhood, Homestead, with the pricing from like the 220,000 point in South Pointe to"
1119640,1127960," all the way up to the low 400,000 is right where we're at now in the Homesteade."
1140960,1164960," All right, so Taylor's, all right. All right, so my take on Stylecraft, we're going to give them 3.9."
1164960,1171960," That is based off of the Temple, Belton, Area, Builders. That's based off of the price. It's the"
1171960,1179780," quality, the customer service, the smoothness of the transaction, how they care for you after"
1179780,1186940," closing, and then my general experience with them so far. So take that with a grain of salt. I do"
1186940,1190960," work with them quite often."
1194960,1199960," [thunder]"
1224960,1229960," [thunder]"
1229960,1237160," But the most important thing like I always say is do not go into a stylecraft model home by"
1237160,1237960," yourself."
1237960,1244960," You want to have somebody there who is objectively, who is viewing your situation, who is a"
1244960,1250960," professional, and who is working for what is best for you."
1250960,1259220," And then you also, what brings you leverage is going to be the inventory, the options that you have"
1259220,1259960," available."
1259960,1265890," So if you go into a model home, you speak with a builder, they can already probably tell in your"
1265890,1266960," eyes that you like it."
1266960,1271180," And you haven't seen all the other builders, you probably think you're going to get a good deal,"
1271180,1273960," but then whenever you buy the property and then you're down the line,"
1273960,1280520," you realize you're in really big trouble with the equity in this thing or whatever the case is, it's"
1280520,1284960," always best because they're not going to say this one's overpriced."
1284960,1294960," But I will tell you that, I will make sure that you are getting the best deal for you."
1294960,1304960," That is the full Stylecraft breakdown. There is a super detailed page on my website, templetexashomes.net/stylecraft."
1304960,1310990," It's going to be right down below. If you are buying new construction in Temple, if you're relocating"
1310990,1313960," to Temple, please reach out to me."
1313960,1323960," I'm working with people just like you every single day. I would love to have a private conversation."
1323960,1329960," I hope to have a private conversation with you and see if we will be a good fit working together."
1329960,1334960," I hope you all enjoy this video. Let's get it."
1334960,1341960," Look, I'm going to try. This may not go in the video because it's a comparison."
1341960,1347960," I was told to not do any more comparisons. We'll see. I don't know."
1347960,1353960," How does Stylecraft compare? I think Stylecraft, in my opinion, is going to be a step up,"
1353960,1361900," kind of above the D.R. Horton and the Lennar, new construction, but then kind of a step down right"
1361900,1362960," below Omega."
1362960,1367960," They're pricing reflects that, and they're pricing actually reflects that and then some."
1367960,1373990," They're actually going to give you a better deal. I think based off of just value alone, they're a"
1373990,1374960," very good builder,"
1374960,1379960," a very good option here in Temple."
1379960,1385960," The one thing is you're not going to, it's not common to see like quartz countertops,"
1385960,1392960," whereas, you know, Omega or Kiella, they'll throw some quartz countertops in from time to time."
1392960,1398960," The flooring, I personally really like Stylecraft's flooring, but, you know,"
1398960,1404960," subjectively, I mean, Carothers and Kiella, they have nicer finishes."
1404960,1411960," Their homes are also quite a bit cheaper, so I think value definitely is there in a Stylecraft home."
1411960,1417960," The super premium finishes, you're not going to be like you would be in like Carothers or Kiella."
1417960,1429170," And then customer service, I think I like them a lot of the times, like Lennar, especially the"
1429170,1432960," transactions are not smooth, they're not coordinated well."
1432960,1439210," There's just a lot of things that I can see on my end that also spills over into the customer"
1439210,1440960," service on your end."
1440960,1447180," And I know if you go with a Stylecraft home, worst case scenario, I'm going to reach out to them"
1447180,1452540," and say, ""Hey, they bought a house with you guys, get them set up, and they're going to get you set"
1452540,1452960," up."""
1452960,1462960," Alright, so now for the review."
1462960,1471960," One last little quick bit on Stylecraft, that for me it means a lot because I put a high value in"
1471960,1474960," putting the client first."
1474960,1481960," Their customer service has been great. I've asked them to come do a video on a day that they're off"
1481960,1482960," and they will send somebody up there."
1482960,1489830," I've never not been able to see a Stylecraft home. They respond fast. Their transactions are very"
1489830,1490960," well laid out."
1490960,1496450," They typically will have a builder rep in every single model. The builder reps know what they're"
1496450,1500960," talking about with these Stylecraft homes."
1500960,1510090," I personally like that. I think that's a huge sign that they are training people right, that they're"
1510090,1510960," doing right."
1510960,1520100," That they're training people right and that they're training people right and that they have a"
1520100,1521960," system that they know."
1521960,1528960," If they put the client, the customer first, it's going to pay them back in the long run"
1528960,1534960," which is a, which is something that I think is 100% true."
1534960,1536960," All right."
1541960,1543960," Thank you."
1570960,1577960," in."
1600960,1607960," the."
1630960,1637960," the."
