"id","url","title","description","upload_date","channel","channel_id","duration","content_type","has_captions","caption_file_paths","sources","info_file_paths"
"q49uv2h95q0","https://www.youtube.com/watch?v=q49uv2h95q0","With VA loan est. $1,930 with builders 3.99% incentive. 4 bedrooms | 2 bathrooms | 1,783sf","","2024-08-12","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","49","short","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240812_q49uv2h95q0.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240812_q49uv2h95q0.info.json"
"xDHLPLbh-DE","https://www.youtube.com/watch?v=xDHLPLbh-DE","📍 104 Fred Patrick Drive | Killeen 76542 | 4 Bedrooms | 2.5 Bathrooms | 1,930sf |","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-12","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","219","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240812_xDHLPLbh-DE.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240812_xDHLPLbh-DE.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240812_xDHLPLbh-DE.info.json"
"-EcTP2JFwB4","https://www.youtube.com/watch?v=-EcTP2JFwB4","📍 2057 Stillwell St. | Nolanville | 4 Bedrooms | 2 Bathrooms | 1,690 sf | Warrior's Legacy","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-14","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","368","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_-EcTP2JFwB4.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_-EcTP2JFwB4.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_-EcTP2JFwB4.info.json"
"2TCQ8suHJvc","https://www.youtube.com/watch?v=2TCQ8suHJvc","📍 1918 Deodar Dr. | Harker Heights | 3 Bedrooms | 2 Bathrooms | 1,263 sf","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-14","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","264","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_2TCQ8suHJvc.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_2TCQ8suHJvc.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_2TCQ8suHJvc.info.json"
"96jRCA9CbVg","https://www.youtube.com/watch?v=96jRCA9CbVg","📍 7606 Purvis St. | Temple | 3 Bedrooms | 2 Bathrooms | 1,532 sf","","2024-08-14","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","311","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_96jRCA9CbVg.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_96jRCA9CbVg.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_96jRCA9CbVg.info.json"
"ZcJG0DurV3Y","https://www.youtube.com/watch?v=ZcJG0DurV3Y","*Seabrook Floorplan 📍1306 Brookfield Dr. | Temple | 4 Bedrooms | 2 Bathrooms | 1,873sf","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-14","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","194","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_ZcJG0DurV3Y.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_ZcJG0DurV3Y.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240814_ZcJG0DurV3Y.info.json"
"M-8dMY7svtk","https://www.youtube.com/watch?v=M-8dMY7svtk","📍 3867 Lorenzen Court | Belton Texas | 4 Bedrooms | 3 Bathrooms | 2,203 sqft","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale","2024-08-15","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","62","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240815_M-8dMY7svtk.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240815_M-8dMY7svtk.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240815_M-8dMY7svtk.info.json"
"RK66rifUJCU","https://www.youtube.com/watch?v=RK66rifUJCU","📍4509 Janelle Dr. | Killeen 76549 | FOR RENT | 4Bedrooms | 2 Bathrooms","💥Contact Hunter Rentals for availability
Ph: +1 254-634-3311","2024-08-25","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","177","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240825_RK66rifUJCU.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240825_RK66rifUJCU.info.json"
"Yc7dRGgvCuQ","https://www.youtube.com/watch?v=Yc7dRGgvCuQ","📍706 Hobby Rd | Copperas Cove | 3 Bedrooms | 2 Bathrooms | 1,677 sqft","","2024-08-25","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","306","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240825_Yc7dRGgvCuQ.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240825_Yc7dRGgvCuQ.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240825_Yc7dRGgvCuQ.info.json"
"ls2jHHwkXeM","https://www.youtube.com/watch?v=ls2jHHwkXeM","📍2644 Belle Hubbard Trail | Belton | 4 Bedrooms | 3 Bathrooms | 2,204sf","about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-26","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","253","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240826_ls2jHHwkXeM.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240826_ls2jHHwkXeM.info.json"
"Zoh2DHK_Mvo","https://www.youtube.com/watch?v=Zoh2DHK_Mvo","ask about builder incentives & 1st Time Home Buyer programs Contact me for more info! 254-251-5440","","2024-08-27","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","60","short","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240827_Zoh2DHK_Mvo.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240827_Zoh2DHK_Mvo.info.json"
"AE1Vc0K96MM","https://www.youtube.com/watch?v=AE1Vc0K96MM","📍 3831 Lorenzen CT | Belton | 5 Bedrooms | 2.5 Bathrooms | 2,572 sf | Sonoma Floorplan","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-28","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","310","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_AE1Vc0K96MM.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_AE1Vc0K96MM.info.json"
"gyhiVkTT1xo","https://www.youtube.com/watch?v=gyhiVkTT1xo","📍 1430 King Ranch Road | Salado | 4 Bedrooms | 2 Bathrooms | 2,502 sf","","2024-08-28","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","58","short","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_gyhiVkTT1xo.info.json"
"nlw76pEhsMc","https://www.youtube.com/watch?v=nlw76pEhsMc","📍 1800 Saddlebred Lp | Harker Heights | 4 Bedrooms | 2 Bathrooms | 2,024 sf","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-28","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","276","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_nlw76pEhsMc.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_nlw76pEhsMc.info.json"
"OYLkmL81ZLM","https://www.youtube.com/watch?v=OYLkmL81ZLM","1622 Dryden Ave | Copperas Cove | 3 Beds | 2 Baths | 1 office | 1,519 SF | Builder: Stylecraft","","2024-08-28","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","70","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_OYLkmL81ZLM.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_OYLkmL81ZLM.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_OYLkmL81ZLM.info.json"
"uzwo8GAapZU","https://www.youtube.com/watch?v=uzwo8GAapZU","📍 1805 Saddlebred Loop | Harker Heights | 5 Bedrooms | 3 Bathrooms | 3,150 sf | Move-In ready Sept.","🚨 3.99% fixed IF closed by Sept. 27

ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-28","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","307","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_uzwo8GAapZU.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_uzwo8GAapZU.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240828_uzwo8GAapZU.info.json"
"AVx5VDqEXjk","https://www.youtube.com/watch?v=AVx5VDqEXjk","912 James Parker Loop (Stylecraft)","","2024-09-10","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","275","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_AVx5VDqEXjk.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_AVx5VDqEXjk.info.json"
"CTkOY1fljHo","https://www.youtube.com/watch?v=CTkOY1fljHo","📍912 James Parker Circle | Levy Crossing | 76542","","2024-09-10","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","49","short","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_CTkOY1fljHo.info.json"
"TQp_0IpRGvk","https://www.youtube.com/watch?v=TQp_0IpRGvk","📍3001 Gryffindor Ln | 5 Bedrooms  | 2.5 Bedrooms | 2,017 sf","","2024-09-10","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","256","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_TQp_0IpRGvk.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_TQp_0IpRGvk.info.json"
"ZfZvDdaNIfw","https://www.youtube.com/watch?v=ZfZvDdaNIfw","📍 1414 Lindsey Dr. | Copperas Cove | 4 Bedrooms | 2.5 Bathrooms | 2,131","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale","2024-09-10","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","372","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_ZfZvDdaNIfw.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240910_ZfZvDdaNIfw.info.json"
"JiHnFaNZCN4","https://www.youtube.com/watch?v=JiHnFaNZCN4","📍1324 Logan Blvd | Salado | 4 Bedrooms | 3 Bathrooms | 2,300 sf | Omega Builder","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-09-11","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","173","video","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240911_JiHnFaNZCN4.info.json"
"QLJj3bDGRgY","https://www.youtube.com/watch?v=QLJj3bDGRgY","📍214 Great Hills Dr | Copperas Cove | 3 Bedrooms | 2 Bathrooms | 1,360 sf | Great Builder Incentives","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-09-11","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","285","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240911_QLJj3bDGRgY.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240911_QLJj3bDGRgY.info.json"
"lfdYZgY2J5I","https://www.youtube.com/watch?v=lfdYZgY2J5I","ask about builder incentives & 1st Time Home Buyer programs Contact me for more info!","","2024-09-12","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","56","short","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240912_lfdYZgY2J5I.info.json"
"dPvUa4VCZwg","https://www.youtube.com/watch?v=dPvUa4VCZwg","📍1424 King Ranch Rd | Salado | 4 Bedrooms | 2.5 Bathrooms | 2,542 sf | .53 Acres","Reach out for builder incentives
Alberto Lopez 
Realtor 
Hacienda Texas Realty 

254-251-5440


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8kklqLVmQYs&_r=1


🔥Website
www.alberto.lopezhouses.com","2024-09-18","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","312","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240918_dPvUa4VCZwg.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240918_dPvUa4VCZwg.info.json"
"q6UW8XqBD1Q","https://www.youtube.com/watch?v=q6UW8XqBD1Q","🚨 If you're interested in this home or any other home that's for sale call me or shoot me a text!","","2024-09-26","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","58","short","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240926_q6UW8XqBD1Q.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240926_q6UW8XqBD1Q.info.json"
"fBsGEKo2V4E","https://www.youtube.com/watch?v=fBsGEKo2V4E","1966 Rosson St Nolanville Warriors Legacy","","2024-09-29","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","58","short","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240929_fBsGEKo2V4E.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240929_fBsGEKo2V4E.info.json"
"ZDefze1gp4E","https://www.youtube.com/watch?v=ZDefze1gp4E","Reach out for builder incentives!","","2024-10-04","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","52","short","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20241004_ZDefze1gp4E.info.json"
"HUTgXO1LHPE","https://www.youtube.com/watch?v=HUTgXO1LHPE","Flintrock Duplex Killeen Reynolds Crossing","🚨 DirectIf you're interested in this home or any other home that's for sale you can call, text, or email me for more information - 

254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale","2024-10-07","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","63","video","false","","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20241007_HUTgXO1LHPE.info.json"
