"video_id","title","channel","channel_id","url","duration_seconds","view_count"
"085RpK_WlYU","Buying a Home in Central Texas? Don’t Make These Negotiation Mistakes in 2026","Twins Realty Team","UCiDEHqXl4HEWQZ4mZ1nsbtQ","https://www.youtube.com/watch?v=085RpK_WlYU",274.0,61
"0EpMO2u7ET8","Smart Cities Projects in Nolanville TX - Titanium 22","ENDEAVR Institute","UC5UWZZWpCxK1AJqoXinbHFA","https://www.youtube.com/watch?v=0EpMO2u7ET8",901.0,94
"0F20j7CYZs0","Real estate for sale in Copperas Cove Texas - MLS# 173363","robertanderson179","UC568W0XPhpSA8R3X1OBp5Pg","https://www.youtube.com/watch?v=0F20j7CYZs0",112.0,69
"0J1LEJ3h4_4","SOLD | 2510 Leatherwood, Harker Heights, TX  |  Nancy Best, REALTOR","NANCY BEST REALTY - Nancy Best, Broker","UCfj6lUX8K2rVVRRGiFiDuTA","https://www.youtube.com/watch?v=0J1LEJ3h4_4",31.0,31
"0Lgte4QG5os","Top 10 Texas Cities Where Home Prices Could Crash in 2026","Uncovering USA","UCS-Nvwwiv5mC7RBYlapvHQw","https://www.youtube.com/watch?v=0Lgte4QG5os",629.0,339
"0NgnYaTGj-k","Tuscany Meadows, Harker Heights, TX - By Brian E Adams, Realtor with StarPointe Realty","Hood Homes Blog: Brian E Adams","UC3Wl4C9al_GLLFSe5nBSg6A","https://www.youtube.com/watch?v=0NgnYaTGj-k",62.0,1384
"0PIREoFt8T8","Beautiful home tour in Copperas Cove","Amber Rose","UCmwLwWAcoXVRu28QO5JIymQ","https://www.youtube.com/watch?v=0PIREoFt8T8",394.0,15
"0RAHkU1dCi8","Temple TX Home Prices Just Dropped 4.7%: Is Now the Time to Buy?","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=0RAHkU1dCi8",545.0,132
"0SMCbO23Frs","Stony Brook Ranch 33.24 +/- Acres Bell County TX","Jonathan Wise","UCXDEyux_WRpKBuhVLHPJinQ","https://www.youtube.com/watch?v=0SMCbO23Frs",90.0,13
"0Tdk4vNTOjU","What $205,000 Gets You in Temple TX | First Time Home Buyers! | Great Neighborhood","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=0Tdk4vNTOjU",350.0,29
"0Viiswu59Ew","Dracula (2026) – First Trailer | Keanu Reeves, Jenna Ortega | Concept Trailer","Ultimate Studios","UCc3qOMA8TN5b3PPRlGAFA0Q","https://www.youtube.com/watch?v=0Viiswu59Ew",86.0,1816948
"0bNQ1wWN63s","Killeen TX Home For Sale | STUNNING KITCHEN | NO REAR NEIGHBOR | EN SUITE 4TH BEDROOM!","Faith. Family. Home. -Keith Duble Team, eXp Realty","UChL1Xabpw5q1A9OsK8M2NYQ","https://www.youtube.com/watch?v=0bNQ1wWN63s",93.0,1280
"0d1OWBMyX2M","5 Best JOBS in KILLEEN Texas! Attention Job Seekers!!","Moving to Killeen Texas - Brina Gordon","UC1SKo4gUtYWElAGwZSguqpA","https://www.youtube.com/watch?v=0d1OWBMyX2M",651.0,1049
"0e0dhLanxHs","Homes for Sale - 710 Ash Street, Copperas Cove, TX","Century 21 Premier Realtors","UCZvWg96vLbA3eGHCwnf3RRQ","https://www.youtube.com/watch?v=0e0dhLanxHs",64.0,1
"0h7e06u79zg","Woman kidnapped from Harker Heights; found in Round Rock motel | FOX 7 Austin","FOX 7 Austin","UC5maSolHQX9er0BOxrzjMwA","https://www.youtube.com/watch?v=0h7e06u79zg",75.0,1663
"0hL4iKqg86Y","How I Analyze a Flip (full $$ walkthrough)","Cameron Burke","UCeLjOtdniREbtd4LiO7P7jw","https://www.youtube.com/watch?v=0hL4iKqg86Y",1750.0,355829
"0iEkO1Jpq4o","618 N 22nd Street, Killeen, TX 76541","Expert Rentals & Property Management","UC-_SuyK4REF_TH5r1W2nQmw","https://www.youtube.com/watch?v=0iEkO1Jpq4o",58.0,18
"0jqy5gpYXQs","What $230K Gets You in Killeen Texas | Home Tour Near Fort Cavazos! [Must See]","Military Living in Central Texas","UCijF1zTR7RluBFGicVZU4SA","https://www.youtube.com/watch?v=0jqy5gpYXQs",189.0,91
"0oNQAAb_mwU","Should You Buy or Sell Land in Bell County Right Now?","Trent Babb | Central Texas Land & Commercial","UCWykQcBeQE_1yY2lk9m23YQ","https://www.youtube.com/watch?v=0oNQAAb_mwU",752.0,132
"0ruAeid7Rhs","FM 1113, Copperas Cove, TX 76522 - Your Home Sold Guaranteed Realty 254.449.8881","Shelly Salas - Your Home Sold Guaranteed","UCKVWHDP86oKOt6yZOH4lMEA","https://www.youtube.com/watch?v=0ruAeid7Rhs",85.0,121
"0sD-YRp-gYg","Lil Travieso - Homies (Official Music Video)","Lil Travieso","UCUilblzxIJV-2n5ycueirDg","https://www.youtube.com/watch?v=0sD-YRp-gYg",215.0,4571449
"0yJrKDpfT2Y","Shop Cove Oktoberfest 2025 Recap - Copperas Cove, Texas","Copperas Cove Economic Development ","UCu43BemUbYMwdEzVEr41Fng","https://www.youtube.com/watch?v=0yJrKDpfT2Y",143.0,26
"12blJQiSOoU","Suspect in Killeen, Texas, smoke shop armed robbery targeted another business the next day","KWTX News10","UCYedMp8lKCCw9y0Qe3J9huQ","https://www.youtube.com/watch?v=12blJQiSOoU",151.0,2818
"14V9s2hOKDo","Everything you need to know to buy a house in in the Killeen/Temple Texas area! | PCS to FORT HOOD","Samantha Hammonds- Central TX REALTOR® ","UClhphoG2zMHA6r7nNyLFLgA","https://www.youtube.com/watch?v=14V9s2hOKDo",2428.0,11
"15TJl0reFxQ","Everything You Need to Know About Belton Texas","Home in Texas Team","UCH_q3yrfScCGPYzSr9VVwGQ","https://www.youtube.com/watch?v=15TJl0reFxQ",261.0,391
"17t6OKCMcPU","1770 Dryden Avenue","Robert Herrings Jr","UCGEXUfJdSCBPtgWeF8Dl4lw","https://www.youtube.com/watch?v=17t6OKCMcPU",47.0,1
"1C0Iv2Q6rho","Copperas Cove, TX is known as Copperas","Jon Stringer","UCq94A2MD-zFWqYXzDZKqCdg","https://www.youtube.com/watch?v=1C0Iv2Q6rho",38.0,5163
"1CZzIovazDk","What Does Under $300,000 Buys You in KILLEEN Texas? | Brand-New Brick Home on  Corner Lot!🤯","Moving to Killeen Texas - Brina Gordon","UC1SKo4gUtYWElAGwZSguqpA","https://www.youtube.com/watch?v=1CZzIovazDk",442.0,517
"1GN-Nbl1p6I","Homes for Sale - 215 Slippery Elm Drive, Nolanville, TX","Robert Herrings Jr","UCGEXUfJdSCBPtgWeF8Dl4lw","https://www.youtube.com/watch?v=1GN-Nbl1p6I",47.0,8
"1Hr8qyvS3-A","2025 Acura MDX gets rock chip protection || Serving Killeen, Copperas Cove, Nolanville","Harker Heights Ceramic Coatings","UCkOqS-RpybYK_m7Y938vtuQ","https://www.youtube.com/watch?v=1Hr8qyvS3-A",72.0,146
"1JsqrP31XNQ","April 2026 Montgomery County TX Real Estate Market Update | Prices, Inventory & Trends","Living In Houston, TX","UCFB5iiqWxFkEzNq0dsqx0Jg","https://www.youtube.com/watch?v=1JsqrP31XNQ",764.0,164
"1LNC_znHnXk","402 Cottonwood ","Robert Key","UCGL7gXJy4r-6PiH0OID9T8Q","https://www.youtube.com/watch?v=1LNC_znHnXk",548.0,20
"1O0q0CshMKo","How to Buy Land | for Beginners","The General Family","UCx52tL5w_iWgMOwPThNhpFg","https://www.youtube.com/watch?v=1O0q0CshMKo",849.0,619553
"1O82U4enFOg","907 Mustang Trail, Harker Heights, TX 76548 - Your Home Sold Guaranteed Realty 254.449.8881","Shelly Salas - Your Home Sold Guaranteed","UCKVWHDP86oKOt6yZOH4lMEA","https://www.youtube.com/watch?v=1O82U4enFOg",106.0,162
"1QZTyol8DPw","Properties Management – Harker Heights, TX","John Reider Properties","UCGhBS7DKFyz9F54RfrBucQw","https://www.youtube.com/watch?v=1QZTyol8DPw",54.0,18
"1S6lxFT7smc","Fort Hood still fighting deplorable housing conditions","KCENNews","UCjq9ElqnV7Df6NLb4oDHKqQ","https://www.youtube.com/watch?v=1S6lxFT7smc",122.0,624
"1SAk8wYdPPs","Inside the Arnold Model Home at Legacy Ranch • Temple TX Luxury Tour","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=1SAk8wYdPPs",124.0,85
"1T8YANVqQ7Y","1 Bedroom Apartment Tour | The Crossroads Belton | Spacious Living in Belton, TX","Spradley Properties","UCfS8-4IPB1bN8oN1N2zqsSw","https://www.youtube.com/watch?v=1T8YANVqQ7Y",46.0,114
"1UFMnSwIE3o","Harker Heights Home For Sale near Fort Hood - MilitaryForSaleForRent.com","Off-Base Housing","UC49LyB6apJwWserAyooCagg","https://www.youtube.com/watch?v=1UFMnSwIE3o",25.0,76
"1Uzt_AhpK20","Friday Night Lights Game of the Week: Copperas Cove vs. Temple","KCENNews","UCjq9ElqnV7Df6NLb4oDHKqQ","https://www.youtube.com/watch?v=1Uzt_AhpK20",224.0,324
"1Xg_XFl77l0","Is the Killeen TEXAS Real Estate Market About To EXPLODE Or CRASH?! [New Administration Impact🚨]","Moving to Killeen Texas - Brina Gordon","UC1SKo4gUtYWElAGwZSguqpA","https://www.youtube.com/watch?v=1Xg_XFl77l0",584.0,235
"1_IVzx-QA10","Killeen Housing Authority Director Sentenced 3 Years After $70K Embezzlement for Luxury Spending","US Footage Files","UCdV6zcN01oM4sbwDoLVmzjA","https://www.youtube.com/watch?v=1_IVzx-QA10",1769.0,116
"1aqtBNxMid0","How Much Home You Can ACTUALLY Afford In Texas (By Salary)","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=1aqtBNxMid0",1091.0,883
"1dblbok3vsE","8001 Ridgeway Court for sale in Nolanville, TX 76559 - Residential","PalmerHouseProp","UCrVoD6Shmdi2aYqehtmiAqw","https://www.youtube.com/watch?v=1dblbok3vsE",157.0,6
"1gZvGQBP4-E","MASSIVE 5 Bedroom Home Near Fort Hood | Spanish Oaks Killeen TX Tour","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=1gZvGQBP4-E",463.0,309
"1jNnRAD3iVU","Inside this STUNNING White Rock Estates Home in Killeen TX","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=1jNnRAD3iVU",400.0,360
"1plIyKC4tEQ","Kevin Gates - I Love This Bitch (Official Music Video)","kevingatesTV","UCj2GTFekdV3EUsTVN8oaEqA","https://www.youtube.com/watch?v=1plIyKC4tEQ",183.0,3029900
"1xk6sUAka_A","The INSANE Transformation of Downtown Killeen TX","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=1xk6sUAka_A",562.0,334
"1zz4bjIku9o","2306 Wooster St, Nolanville, TX | Elizabeth Thomas ACE Real Estate Group | Nolanville TX Real Estate","Elizabeth Thomas - Fort Hood Homes Group","UCfDOrNekvd28MKc_S897MsQ","https://www.youtube.com/watch?v=1zz4bjIku9o",103.0,19
"2-7c-hxf6PA","How I Get Homes Sold in Central TX | Proven Listing Strategy That Works","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=2-7c-hxf6PA",504.0,25
"21J8fjCoM7U","Inside This MASSIVE 3200 Sq Ft Central Texas Home Near Fort Cavazos | Living in Belton TX","Military Living in Central Texas","UCijF1zTR7RluBFGicVZU4SA","https://www.youtube.com/watch?v=21J8fjCoM7U",547.0,160
"23N_CoN2gPg","📍4991 Bella Charca | Nolanville Texas","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","https://www.youtube.com/watch?v=23N_CoN2gPg",186.0,58
"23QqjuGyY50","609 Old Glory Nolanville, TX 76559 | Emilio Perales | Homes for Sale","Quick Tours Real Estate Marketing","UCs_-2ecm9mKlq4cVaXT16AQ","https://www.youtube.com/watch?v=23QqjuGyY50",41.0,39
"24zKhDyYYOs","PCS Move to Fort Hood? Watch This First!","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=24zKhDyYYOs",1095.0,8867
"2DhB2aweH5o","313 Rain Dance Trail, Copperas Cove, TX 76522","ERA Marketing","UCjTE8W1e2LD72ieipyxhFRg","https://www.youtube.com/watch?v=2DhB2aweH5o",55.0,0
"2FWuJDJbBUQ","Homes for Sale - 1307 Marlee Circle, Copperas Cove, TX","Century 21 Premier Realtors","UCZvWg96vLbA3eGHCwnf3RRQ","https://www.youtube.com/watch?v=2FWuJDJbBUQ",85.0,2
"2HPhghF-zeQ","If I Had to Sell My Home in 2026… I’d Follow THESE 7 Steps (Even in a Brutal Market)","Real Estate Steph CTX","UCvwxIfW2u71mpzrKastNbDg","https://www.youtube.com/watch?v=2HPhghF-zeQ",760.0,36
"2IF2J0pqm9U","Nolanville growth attracts new businesses","25 News KXXV","UCOE42duvEjXG48b6BtOFBGA","https://www.youtube.com/watch?v=2IF2J0pqm9U",102.0,27
"2Ijwn1tpd70","Construction on Harker Heights interchange begins this Thursday","KWKT FOX44","UCzsavUS_jn2fXbc9yHkFCfA","https://www.youtube.com/watch?v=2Ijwn1tpd70",26.0,12
"2LHeub0vyz4","Belton set for incoming Amazon facility","25 News KXXV","UCOE42duvEjXG48b6BtOFBGA","https://www.youtube.com/watch?v=2LHeub0vyz4",107.0,109
"2SqkLmheu-4","Roadway restoration in Nolanville to cause closures","KWKT FOX44","UCzsavUS_jn2fXbc9yHkFCfA","https://www.youtube.com/watch?v=2SqkLmheu-4",36.0,12
"2ULes7na1UY","2026 TEXAS DMV Written Test 1 | 30 Real Test Questions | TX DMV Practice Test","DMV PERMIT PRACTICE TEST","UCORtLQccttogC4kmHif5GIQ","https://www.youtube.com/watch?v=2ULes7na1UY",1178.0,25451
"2UOeBQ3t9wY","Texas Team Trail with Big Bass at Belton Lake","TexasTeamTrail and Bass Pro Shops",,"https://www.youtube.com/watch?v=2UOeBQ3t9wY",1167.0,8776
"2XrMVEaOEn0","6603 Taree Loop, Killeen, TX Presented by Asad Shaikh.","Asad Shaikh - Texas Realtor","UCmdryrgNmYM2DtJwQNq9P_w","https://www.youtube.com/watch?v=2XrMVEaOEn0",181.0,10
"2XxNja4wVK4","Moving to or from Belton, Temple, Killeen, or Austin, TX #lisakamprathsellsrealestate","Lisa Kamprath, REALTOR® Belton, TX","UCm-ak6OuI6VnRU7xJbfndMw","https://www.youtube.com/watch?v=2XxNja4wVK4",15.0,12
"2ZU2rR9m0r0","Drive around with me from Harker Heights To Killeen Texas","Rheajane Taylor","UCkhp-b2FIwAZVlV6kRN-1mg","https://www.youtube.com/watch?v=2ZU2rR9m0r0",1602.0,4610
"2_oGH4efASA","Killeen's Farmer's Market","City of Killeen","UCaPeVyn6uMmjxBn4bUE4VLQ","https://www.youtube.com/watch?v=2_oGH4efASA",67.0,334
"2gE6iN_NqbE","How to find safe neighborhoods to live in Killeen, Temple, Belton, and Harker Heights, Texas","Albatross Furnished Homes | Central Texas","UCihPGpRXg00tkVCXqJKXW0A","https://www.youtube.com/watch?v=2gE6iN_NqbE",1383.0,36
"2gjFjLbGW-s","Military Real Estate Near Fort Hood | PCS, Investing & Buying Homes in Killeen, Texas | BANG","BANG - Broker Alliance Networking Group","UClshK3EW3d3pcV_UXKii1Tw","https://www.youtube.com/watch?v=2gjFjLbGW-s",663.0,34
"2heWEk3UONI","Full Home Tour - Copperas Cove, TX - Claton Ranch -DR Horton","CENTRAL TEXAS LIVING","UCApMznnU70goY-0ucOaQNXA","https://www.youtube.com/watch?v=2heWEk3UONI",386.0,743
"2j40NXl4M_o","304 Cottonwood Drive, Harker Heights, TX 76548","ERA Real Estate Videos #01","UC3fXOHuMe3W0Tl4gvOqnm1Q","https://www.youtube.com/watch?v=2j40NXl4M_o",103.0,7
"2oLmmUZ4x3I","How To Find Affordable Housing In Fort Hood?","James Sexton","UChxfPIqKTkOA9Tv1nLz9tsg","https://www.youtube.com/watch?v=2oLmmUZ4x3I",67.0,46
"2uI_pHa37lQ","Property Tour - 1020 Sienna, Homes for Sale, Temple TX","CENTRAL TEXAS LIVING","UCApMznnU70goY-0ucOaQNXA","https://www.youtube.com/watch?v=2uI_pHa37lQ",374.0,647
"2y_GIFUoPNk","Welcome to Copperas Cove, Texas - a great place in Central Texas to live, work, learn, and play.","Copperas Cove Economic Development ","UCu43BemUbYMwdEzVEr41Fng","https://www.youtube.com/watch?v=2y_GIFUoPNk",176.0,2078
"3-HgsxN-NKo","2026 Honda Ridgeline Killeen TX Austin, TX #J0245","Cleo Bay Honda","UCBaFE6JX-4CW6A4XA2mdOvw","https://www.youtube.com/watch?v=3-HgsxN-NKo",49.0,3
"3-m3RM_zddg","Eric Martinez Real Estate Professional Fort Hood Belton Temple Killeen","Eric Martinez","UC0E3Nvi1A5vOz5R87gg0oBA","https://www.youtube.com/watch?v=3-m3RM_zddg",37.0,2
"301ph1jflrY","Business is Booming in Harker Heights","25 News KXXV","UCOE42duvEjXG48b6BtOFBGA","https://www.youtube.com/watch?v=301ph1jflrY",93.0,122
"30qMJW6SRBw","Killeen vs Temple TX: What $350K Buys You in 2026 (Side-by-Side Tour)","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=30qMJW6SRBw",353.0,74
"31NdUoS9ozw","Central Texas Ranch for Sale | Florence Valley Ranch | 49 Acres in Bell County","West & Swope Ranches","UCVFIOWJ9qnaBy5B68y-MsJA","https://www.youtube.com/watch?v=31NdUoS9ozw",115.0,1305
"34BW6tKuJls","Multi-Family Property with Scenic Views | Harker Heights, TX | Real Estate Video","HomeJab","UC8GOaTipjEzi4W2kVjO1-ig","https://www.youtube.com/watch?v=34BW6tKuJls",47.0,7
"35dVFFJXDP0","MLS House Tour: 319 Cedar Ridge Dr, Unit B in Nolanville, TX - Duplex Unit near UMHB, Lake Belton","Your Favorite Homeboy - Edward Lui","UCEcolHvJJxrykgHpYyIMRrw","https://www.youtube.com/watch?v=35dVFFJXDP0",190.0,74
"39I40sV6VLc","How Much Does It REALLY Cost to Live in Killeen Texas in 2026?","Moving to Killeen Texas - Brina Gordon","UC1SKo4gUtYWElAGwZSguqpA","https://www.youtube.com/watch?v=39I40sV6VLc",1256.0,239
"39Y6UpSFqu0","PCS to Fort Hood (2026): 6 Towns Compared by BAH & Commute","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=39Y6UpSFqu0",1088.0,84
"3AcZ7WFj2eQ","5306 Denmans Lp, Belton, TX home tour. ","Maria Jones Hall, REALTOR®","UCH5WP3vHGc7TWyF95bK7Njw","https://www.youtube.com/watch?v=3AcZ7WFj2eQ",528.0,14
"3BqbFfFCEE8","Meek Mill - HOW FAR WE CAME (Official Visualizer)","Meek Mill","UC9HlWVtENbiMQzVRmnbJxtw","https://www.youtube.com/watch?v=3BqbFfFCEE8",150.0,12353724
"3CB_Z2JHGzI","Would You Buy This $120K Texas House? Belton, TX","Invest Central Texas","UCKuVz8ytHECKEAyRacDpm1g","https://www.youtube.com/watch?v=3CB_Z2JHGzI",332.0,40
"3ECuCx1qmf4","New housing support for military families is coming","NewsChannel 5","UCO6kzQ-7wcG0x8W5LpBA9RQ","https://www.youtube.com/watch?v=3ECuCx1qmf4",103.0,423
"3GYggDnQ6pE","Homes for Sale - 501 Mesquite Circle, Copperas Cove, TX","Century 21 Premier Realtors","UCZvWg96vLbA3eGHCwnf3RRQ","https://www.youtube.com/watch?v=3GYggDnQ6pE",113.0,4
"3IQ5yoz6voI","Tour a $799K Move-In Ready Luxury Home in Belton TX | Luxury Listing in Belton Texas","Living in Central Texas","UCqo6EaV9o6bFg4szBL8RYEw","https://www.youtube.com/watch?v=3IQ5yoz6voI",378.0,480
"3J4TnE_-P7I","2026 C8 Z06 fully loaded full body PPF near Killeen TX","Harker Heights Ceramic Coatings","UCkOqS-RpybYK_m7Y938vtuQ","https://www.youtube.com/watch?v=3J4TnE_-P7I",298.0,321
"3Nv6jXpaWYc","2025 | Myles Keeler | Copperas Cove HS | Fall Showcase Tournament | Leander Texas","YGC Central Texas","UCGIhNnvKJAx7AGGCvgndBjQ","https://www.youtube.com/watch?v=3Nv6jXpaWYc",72.0,94
"3OloxQQA6Zw","Modern Farmhouse Home Tour in BELTON, TX | Stunning Texas Property","Moving to Killeen Texas - Brina Gordon","UC1SKo4gUtYWElAGwZSguqpA","https://www.youtube.com/watch?v=3OloxQQA6Zw",659.0,555
"3S6YA4FOJj0","New businesses headed to Killeen and Harker Heights","Killeen Daily Herald","UCmFqrjad9goZEuZ0OLzz-lg","https://www.youtube.com/watch?v=3S6YA4FOJj0",51.0,295
"3Udcr2OKAMQ","Fort Hood Duty Station Area Guide","PCSgrades","UChNlxs5gHojtcCHbh_0Inxw","https://www.youtube.com/watch?v=3Udcr2OKAMQ",217.0,15763
